"";"mangal_node_0090";"mangal_node_3403";"mangal_node_3400";"mangal_node_3401";"mangal_node_3318";"mangal_node_3404";"mangal_node_3462";"mangal_node_3444";"mangal_node_3398";"mangal_node_3397"
"mangal_node_3387";1;1;0;0;0;0;0;0;0;0
"mangal_node_3390";0;1;1;1;0;0;0;0;1;0
"mangal_node_3388";0;0;1;0;0;0;1;1;1;0
"mangal_node_3394";0;1;0;1;0;1;1;0;0;0
"mangal_node_3393";1;1;0;0;1;0;0;0;0;1
"mangal_node_3455";1;0;0;0;0;1;0;1;0;0
"mangal_node_3456";0;0;0;1;0;0;1;1;1;1
"mangal_node_3457";1;1;0;0;0;0;0;1;0;0
"mangal_node_3446";1;0;0;0;0;0;0;0;1;0
"mangal_node_3458";0;0;1;0;0;1;0;0;0;1
"mangal_node_3459";0;0;0;0;0;1;0;0;1;0
"mangal_node_3460";0;0;0;1;0;0;0;1;1;0
"mangal_node_3429";0;0;0;1;0;0;0;1;1;0
"mangal_node_3461";1;0;1;0;0;1;0;0;0;0
