"";"TI_HERB_4720";"TI_HERB_4721";"TI_HERB_4770";"TI_HERB_4769";"TI_HERB_4698";"TI_HERB_4722";"TI_HERB_4771";"TI_HERB_4724";"TI_HERB_4752";"TI_HERB_4737";"TI_HERB_4772";"TI_HERB_4773";"TI_HERB_4719";"TI_HERB_4729";"TI_HERB_4774";"TI_HERB_1816";"TI_HERB_4741";"TI_HERB_4726"
"TI_PLANT_4271";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"TI_PLANT_4295";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"TI_PLANT_4280";0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0
"TI_PLANT_4281";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"TI_PLANT_2444";0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;1
"TI_PLANT_4288";0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"TI_PLANT_4299";0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0
"TI_PLANT_4300";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0
"TI_PLANT_4301";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"TI_PLANT_4291";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"TI_PLANT_75";0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"TI_PLANT_4302";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"TI_PLANT_4293";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
