"";"M22_node_2281";"M22_node_380";"M22_node_296";"M22_node_2395";"M22_node_2406";"M22_node_705";"M22_node_709";"M22_node_1765";"M22_node_2314";"M22_node_778";"M22_node_2052";"M22_node_1434";"M22_node_600";"M22_node_2407";"M22_node_2053"
"M22_node_191";1;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"M22_node_1706";0;1;0;0;1;0;0;0;0;0;0;1;0;1;1
"M22_node_1146";0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
"M22_node_1528";0;0;0;1;0;1;0;0;0;0;0;1;0;0;1
"M22_node_2161";0;1;0;0;1;1;0;0;0;0;0;1;0;1;0
"M22_node_577";1;1;0;0;0;1;0;0;0;0;0;0;0;0;0
"M22_node_1465";0;1;0;0;0;0;1;0;0;0;0;0;0;0;0
"M22_node_1531";0;0;0;0;1;0;0;1;1;0;0;1;0;1;0
"M22_node_412";0;0;0;0;0;0;0;0;1;0;0;0;0;1;0
"M22_node_1475";0;0;0;1;0;0;0;0;0;1;0;0;1;1;0
"M22_node_868";1;0;1;0;0;0;0;0;1;0;1;0;0;0;0
"M22_node_2003";0;0;0;1;0;0;0;0;0;0;0;1;0;0;1
"M22_node_2030";1;1;1;0;1;0;0;0;0;1;0;0;1;0;0
"M22_node_1407";0;1;1;0;0;0;0;0;0;1;0;1;0;1;0
"M22_node_2433";0;0;1;0;1;0;0;0;0;1;0;0;0;0;1
"M22_node_48";0;1;1;0;1;1;1;0;0;0;0;0;1;1;0
"M22_node_1747";0;0;0;0;0;0;1;0;0;0;0;1;0;0;0
"M22_node_1321";0;1;0;1;0;0;0;1;1;0;0;0;1;0;1
"M22_node_2149";0;0;0;0;0;0;0;0;0;0;0;1;1;1;0
"M22_node_2087";0;0;0;1;0;1;0;0;0;1;0;0;0;0;0
