"";"P22_node_13560";"P22_node_8945";"P22_node_8941";"P22_node_12242";"P22_node_15440";"P22_node_9290";"P22_node_5911";"P22_node_8587";"P22_node_8906";"P22_node_5701";"P22_node_5912";"P22_node_9891";"P22_node_6967";"P22_node_15441";"P22_node_8783";"P22_node_5842";"P22_node_5771";"P22_node_9657";"P22_node_15442";"P22_node_15443";"P22_node_8768";"P22_node_5788";"P22_node_15444";"P22_node_8785";"P22_node_6964";"P22_node_15445";"P22_node_8902";"P22_node_15446";"P22_node_15447";"P22_node_9924";"P22_node_15448";"P22_node_5783";"P22_node_5859";"P22_node_6974";"P22_node_5843";"P22_node_8981";"P22_node_6069";"P22_node_12265";"P22_node_9156";"P22_node_15449";"P22_node_15450";"P22_node_15451";"P22_node_15452";"P22_node_9239";"P22_node_15453";"P22_node_15454";"P22_node_9237";"P22_node_15455";"P22_node_15456";"P22_node_15457";"P22_node_5354";"P22_node_15458";"P22_node_15390";"P22_node_15459";"P22_node_15460";"P22_node_9185";"P22_node_9029";"P22_node_15461";"P22_node_15462";"P22_node_15463";"P22_node_15464";"P22_node_5870";"P22_node_15465";"P22_node_9045";"P22_node_15466";"P22_node_15467";"P22_node_6767";"P22_node_5612";"P22_node_9016";"P22_node_8961";"P22_node_12052";"P22_node_14513";"P22_node_5877";"P22_node_15468";"P22_node_15469";"P22_node_15470";"P22_node_15471";"P22_node_15472";"P22_node_15473"
"P22_node_293";1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0
"P22_node_2761";0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_886";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"P22_node_622";0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_2880";0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"P22_node_614";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"P22_node_627";0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0
"P22_node_342";0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_4498";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"P22_node_1109";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
