"";"mangal_node_3508";"mangal_node_3525";"mangal_node_3379";"mangal_node_3566";"mangal_node_3563";"mangal_node_3489";"mangal_node_0090";"mangal_node_3544";"mangal_node_3482";"mangal_node_3338";"mangal_node_3359";"mangal_node_3337";"mangal_node_3540";"mangal_node_3467";"mangal_node_3567";"mangal_node_3568";"mangal_node_3340";"mangal_node_3348";"mangal_node_3441";"mangal_node_3569";"mangal_node_3520";"mangal_node_3380";"mangal_node_3488";"mangal_node_3422";"mangal_node_3454";"mangal_node_3515";"mangal_node_3345";"mangal_node_3444";"mangal_node_3339";"mangal_node_3483";"mangal_node_3535";"mangal_node_3401";"mangal_node_3528";"mangal_node_3314";"mangal_node_3373"
"mangal_node_3408";1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0
"mangal_node_3298";0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;1;0;0;0
"mangal_node_3448";0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;1;0;1
"mangal_node_3294";0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"mangal_node_3327";1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1
"mangal_node_3445";1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;1;0;0;0
"mangal_node_3406";1;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"mangal_node_3417";0;0;0;1;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0
"mangal_node_3392";0;0;0;0;0;1;0;1;1;1;1;0;1;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;1;1
"mangal_node_3407";1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;1;1;0;0;0;0;0
"mangal_node_3387";0;0;1;1;1;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;1;0;0;0;1;1;1;0
"mangal_node_3389";0;0;0;1;0;1;1;1;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;1;0;0;1;0;1;0;0
"mangal_node_3390";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;1;0;0;0;1;1;0;0;1;0;0;1
"mangal_node_3405";0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;1;0
"mangal_node_3418";0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;1
"mangal_node_3300";0;1;0;0;1;0;0;0;0;1;0;0;1;1;0;1;0;0;0;0;1;1;0;1;1;0;0;0;1;1;0;1;0;0;0
"mangal_node_3394";0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;1;0;1;0;0;1;0;0;1;0;1;0
"mangal_node_3494";1;0;0;1;1;1;0;0;0;1;0;0;0;0;0;1;0;1;0;1;1;1;0;0;0;0;0;0;1;0;1;0;0;0;1
"mangal_node_3328";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;1;1;0;0;0
"mangal_node_3411";0;1;1;0;0;0;0;1;1;0;1;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;1;1;0;0;1;0;1
"mangal_node_3416";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;1;0;0;0;0
"mangal_node_3419";0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;1;1;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0
"mangal_node_3565";0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;1;1;1;0;0
"mangal_node_3429";0;0;0;1;1;0;1;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1;0;0;0;1;0;0
"mangal_node_3302";0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;1;0;0;1
"mangal_node_3303";0;0;0;0;0;0;0;0;1;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0
"mangal_node_3334";0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0
