"";"TI_HERB_1816";"TI_HERB_4719";"TI_HERB_4729";"TI_HERB_4775";"TI_HERB_4752";"TI_HERB_4776";"TI_HERB_4769";"TI_HERB_4730";"TI_HERB_4768";"TI_HERB_4777";"TI_HERB_4722";"TI_HERB_4771";"TI_HERB_4724";"TI_HERB_4778";"TI_HERB_4779";"TI_HERB_4707";"TI_HERB_4692";"TI_HERB_4705"
"TI_PLANT_4271";1;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0
"TI_PLANT_4272";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"TI_PLANT_4273";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"TI_PLANT_3169";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"TI_PLANT_4303";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
"TI_PLANT_4295";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0
"TI_PLANT_4279";0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0
"TI_PLANT_4288";0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0
"TI_PLANT_4304";0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0
"TI_PLANT_4299";1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"TI_PLANT_2111";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"TI_PLANT_4275";0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0
"TI_PLANT_4305";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1
"TI_PLANT_4298";0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;1;0;0
"TI_PLANT_4306";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"TI_PLANT_4291";0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;1;0
"TI_PLANT_2479";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"TI_PLANT_4293";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
