"";"AI22_node_171";"AI22_node_410";"AI22_node_586";"AI22_node_594";"AI22_node_609";"AI22_node_611";"AI22_node_613";"AI22_node_647";"AI22_node_1384";"AI22_node_1387";"AI22_node_1393";"AI22_node_1464";"AI22_node_2024";"AI22_node_2381";"AI22_node_3184";"AI22_node_3366";"AI22_node_820";"AI22_node_821";"AI22_node_270";"AI22_node_308";"AI22_node_319";"AI22_node_1046";"AI22_node_1047";"AI22_node_1050";"AI22_node_1056";"AI22_node_3073"
"AI22_node_31";1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"AI22_node_1229";0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"AI22_node_2921";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"AI22_node_2745";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0
"AI22_node_1237";0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0
"AI22_node_1240";0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0
"AI22_node_2250";0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0
"AI22_node_465";0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"AI22_node_936";0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"AI22_node_2956";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"AI22_node_1374";0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"AI22_node_537";0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;1;0;0;1
"AI22_node_2500";0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0
"AI22_node_1238";1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"AI22_node_939";0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0
