"";"TI_HERB_4766";"TI_HERB_4723";"TI_HERB_4788";"TI_HERB_4769";"TI_HERB_4771";"TI_HERB_4781";"TI_HERB_4772";"TI_HERB_15";"TI_HERB_4719";"TI_HERB_4730";"TI_HERB_4724";"TI_HERB_4789";"TI_HERB_4707";"TI_HERB_4722"
"TI_PLANT_4271";1;0;1;0;0;0;0;0;0;0;0;1;0;0
"TI_PLANT_4272";0;1;0;0;0;0;0;0;0;0;0;0;0;0
"TI_PLANT_4295";0;0;1;0;0;0;0;0;0;0;0;0;0;0
"TI_PLANT_4282";0;0;0;1;0;0;0;0;0;0;0;0;0;0
"TI_PLANT_4288";0;0;0;0;1;0;0;0;0;0;0;0;0;0
"TI_PLANT_4274";0;0;0;0;0;1;0;0;0;0;0;0;0;0
"TI_PLANT_4308";0;0;0;0;0;0;1;0;0;0;0;0;0;0
"TI_PLANT_4299";0;0;0;0;1;0;0;1;0;0;0;0;1;0
"TI_PLANT_4315";0;0;0;0;0;0;0;0;1;0;0;0;0;1
"TI_PLANT_4311";0;0;0;1;0;0;0;0;0;1;0;0;0;0
"TI_PLANT_4291";0;0;0;0;0;0;0;0;0;0;1;0;0;0
