"";"P22_node_6973";"P22_node_7692";"P22_node_15474";"P22_node_15475";"P22_node_12654";"P22_node_15476";"P22_node_15477";"P22_node_8945";"P22_node_8941";"P22_node_15440";"P22_node_9290";"P22_node_8906";"P22_node_6964";"P22_node_5912";"P22_node_12936";"P22_node_6967";"P22_node_8783";"P22_node_15478";"P22_node_9891";"P22_node_15479";"P22_node_13025";"P22_node_15480";"P22_node_15481";"P22_node_8994";"P22_node_15482";"P22_node_5771";"P22_node_15483";"P22_node_9219";"P22_node_9185";"P22_node_15452";"P22_node_5840";"P22_node_8892";"P22_node_15484";"P22_node_10671";"P22_node_7023";"P22_node_9279";"P22_node_15485";"P22_node_5877";"P22_node_15486";"P22_node_15446";"P22_node_6963";"P22_node_6966";"P22_node_15487";"P22_node_5880";"P22_node_15488";"P22_node_8768";"P22_node_9225";"P22_node_15464";"P22_node_9159";"P22_node_15489";"P22_node_15467";"P22_node_12052";"P22_node_6069";"P22_node_15490";"P22_node_9237";"P22_node_15491";"P22_node_9920";"P22_node_9910";"P22_node_9126";"P22_node_15492";"P22_node_6971";"P22_node_15493";"P22_node_5783";"P22_node_15494";"P22_node_15458";"P22_node_9045";"P22_node_7086";"P22_node_14513";"P22_node_15495";"P22_node_15496";"P22_node_15497";"P22_node_12265";"P22_node_15498";"P22_node_9027";"P22_node_8981";"P22_node_7446";"P22_node_15499";"P22_node_15500";"P22_node_15454";"P22_node_9196";"P22_node_15450";"P22_node_15501";"P22_node_15502";"P22_node_5198";"P22_node_9308";"P22_node_15473"
"P22_node_1340";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"P22_node_2761";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_342";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0
"P22_node_622";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_293";0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0
"P22_node_1843";0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0
"P22_node_151";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"P22_node_4503";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0
"P22_node_231";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"P22_node_3352";0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_4504";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0
