"";"P22_node_8729";"P22_node_11080";"P22_node_14586";"P22_node_6858";"P22_node_5119";"P22_node_14587";"P22_node_5354";"P22_node_14588";"P22_node_7287";"P22_node_7288";"P22_node_14589";"P22_node_8744";"P22_node_5376";"P22_node_14475";"P22_node_14590";"P22_node_14591";"P22_node_14592";"P22_node_14593";"P22_node_13387";"P22_node_14594";"P22_node_14595";"P22_node_12772";"P22_node_12774";"P22_node_14596";"P22_node_14597";"P22_node_7456";"P22_node_14598";"P22_node_14599";"P22_node_12043";"P22_node_14600";"P22_node_7513";"P22_node_14601";"P22_node_14602";"P22_node_12776";"P22_node_12777";"P22_node_14603";"P22_node_14604";"P22_node_14605";"P22_node_14606";"P22_node_14607";"P22_node_14608";"P22_node_14609";"P22_node_14610";"P22_node_12782";"P22_node_14611";"P22_node_7618";"P22_node_14612";"P22_node_7646";"P22_node_7654";"P22_node_14613";"P22_node_14614";"P22_node_14615";"P22_node_7744";"P22_node_14616";"P22_node_14617";"P22_node_14618";"P22_node_14619";"P22_node_14620";"P22_node_14621";"P22_node_14622";"P22_node_14623";"P22_node_14624";"P22_node_14625";"P22_node_14626";"P22_node_14380";"P22_node_8210";"P22_node_12820";"P22_node_13836";"P22_node_10805";"P22_node_10838";"P22_node_6884";"P22_node_12825";"P22_node_12826";"P22_node_14627";"P22_node_13552";"P22_node_14628";"P22_node_10863";"P22_node_14629";"P22_node_8314";"P22_node_14630";"P22_node_7063";"P22_node_14631"
"P22_node_751";1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;1;0;1;0;0;0;0;1;0
"P22_node_4069";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;1;1;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0
"P22_node_4070";0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_4071";0;0;0;1;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1
"P22_node_784";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"P22_node_753";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_781";1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;1
"P22_node_4072";0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;1;1;0;1;0;1;0;0;1;1;0;0;0;1;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0
"P22_node_2499";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;1;1
"P22_node_4073";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;0;0;1;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_4074";0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;0;1;1;1;0;0;1;0;0;0;1;1;0;0;0;0
"P22_node_4075";0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0
