"";"M22_node_125";"M22_node_220";"M22_node_1545";"M22_node_2216";"M22_node_2292";"M22_node_124";"M22_node_1715";"M22_node_1140";"M22_node_1820";"M22_node_1700";"M22_node_1514";"M22_node_1822";"M22_node_2399";"M22_node_2525";"M22_node_1950"
"M22_node_669";1;0;0;1;0;1;0;0;0;0;1;0;0;1;0
"M22_node_843";0;1;0;0;0;0;1;1;0;0;0;0;1;0;0
"M22_node_151";0;0;1;0;0;0;0;0;0;0;0;1;1;0;0
"M22_node_1085";0;0;0;1;0;0;1;0;0;0;0;0;0;1;0
"M22_node_1177";0;1;1;0;1;0;0;1;0;0;0;0;0;0;1
"M22_node_1186";0;0;0;0;0;1;0;0;1;0;0;0;0;0;0
"M22_node_1651";0;0;1;0;0;0;1;0;0;0;0;0;0;0;0
"M22_node_1920";0;1;0;0;0;1;1;1;1;0;1;0;1;0;0
"M22_node_2317";0;1;0;1;0;0;0;0;1;0;0;0;0;1;0
"M22_node_2343";0;1;1;0;0;1;0;1;0;1;1;0;0;0;1
