"";"TI_HERB_4824";"TI_HERB_4825";"TI_HERB_4826";"TI_HERB_4800";"TI_HERB_4801";"TI_HERB_4802";"TI_HERB_4803";"TI_HERB_4804";"TI_HERB_4805";"TI_HERB_4806";"TI_HERB_4807";"TI_HERB_4808";"TI_HERB_4809";"TI_HERB_4810";"TI_HERB_4811";"TI_HERB_4812";"TI_HERB_4813";"TI_HERB_4814";"TI_HERB_4815";"TI_HERB_4816";"TI_HERB_4827";"TI_HERB_4828";"TI_HERB_4829";"TI_HERB_4830";"TI_HERB_4831";"TI_HERB_4817";"TI_HERB_4832";"TI_HERB_4833";"TI_HERB_4834";"TI_HERB_4835";"TI_HERB_4836";"TI_HERB_4837";"TI_HERB_4838";"TI_HERB_4839";"TI_HERB_4840";"TI_HERB_4841";"TI_HERB_4818";"TI_HERB_4842";"TI_HERB_4843";"TI_HERB_4844";"TI_HERB_4845";"TI_HERB_4846";"TI_HERB_4847";"TI_HERB_4848";"TI_HERB_4849";"TI_HERB_4819";"TI_HERB_4820";"TI_HERB_4821";"TI_HERB_4822";"TI_HERB_4823"
"TI_PLANT_4326";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"TI_PLANT_4345";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"TI_PLANT_4372";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"TI_PLANT_4324";0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"TI_PLANT_4330";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0
"TI_PLANT_4373";0;0;0;1;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"TI_PLANT_4374";0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"TI_PLANT_4375";0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"TI_PLANT_4333";0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"TI_PLANT_4376";0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
"TI_PLANT_4377";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0
"TI_PLANT_4378";0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
