"";"mangal_node_3318";"mangal_node_0090";"mangal_node_3396";"mangal_node_3306";"mangal_node_3404";"mangal_node_3518";"mangal_node_3316";"mangal_node_3443";"mangal_node_3400";"mangal_node_3313";"mangal_node_3402";"mangal_node_3399";"mangal_node_3403";"mangal_node_3373";"mangal_node_3501";"mangal_node_3444";"mangal_node_3317";"mangal_node_3519";"mangal_node_3397";"mangal_node_3384";"mangal_node_3401";"mangal_node_3431";"mangal_node_3514";"mangal_node_3378"
"mangal_node_3387";1;1;0;0;0;0;1;0;0;1;0;1;0;0;1;1;0;0;0;0;0;0;0;0
"mangal_node_3388";0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1
"mangal_node_3394";0;1;1;1;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;1;1;0;0;0
"mangal_node_3391";0;0;0;1;1;0;1;0;1;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0
"mangal_node_3390";0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0
"mangal_node_3408";0;1;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;1
"mangal_node_3389";0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;1;1;0;0;0;1;1;1
"mangal_node_3417";1;0;1;1;1;0;1;1;1;1;0;0;1;0;0;0;1;0;0;1;0;0;1;0
"mangal_node_3429";0;0;0;0;0;1;1;1;1;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0
"mangal_node_3392";0;0;0;0;0;0;1;0;0;1;0;0;0;1;1;0;0;1;0;0;1;0;1;0
"mangal_node_3405";0;1;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;1;1;0;1;0;0
"mangal_node_3516";0;0;1;0;0;1;0;0;0;0;0;1;1;1;0;1;1;0;0;0;1;0;0;1
"mangal_node_3517";0;1;1;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;1;0;0;0
