"";"mangal_node_6909";"mangal_node_6856";"mangal_node_6861";"mangal_node_6850";"mangal_node_6910";"mangal_node_6879";"mangal_node_6911";"mangal_node_6912";"mangal_node_6892";"mangal_node_3189";"mangal_node_6655";"mangal_node_6881";"mangal_node_6913";"mangal_node_3166";"mangal_node_6859";"mangal_node_3165";"mangal_node_3198";"mangal_node_6858";"mangal_node_3255";"mangal_node_6891";"mangal_node_6853"
"mangal_node_6867";1;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;1;0;1;0;0
"mangal_node_6869";0;1;0;0;1;0;0;0;0;0;1;0;0;1;0;1;0;0;0;1;0
"mangal_node_6868";0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0
"mangal_node_6914";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"mangal_node_6915";0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"mangal_node_6916";0;1;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0
"mangal_node_3281";0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0
"mangal_node_6917";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0
"mangal_node_6918";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0
"mangal_node_6919";0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;1;1
