"";"P22_node_9457";"P22_node_5354";"P22_node_9703";"P22_node_9755";"P22_node_9763";"P22_node_9704";"P22_node_9765";"P22_node_8608";"P22_node_9705";"P22_node_9764";"P22_node_9707";"P22_node_9709";"P22_node_9766";"P22_node_9816";"P22_node_9711";"P22_node_9713";"P22_node_9714";"P22_node_9817";"P22_node_9715";"P22_node_9716";"P22_node_9767";"P22_node_9818";"P22_node_9719";"P22_node_9720";"P22_node_9819";"P22_node_9820";"P22_node_9724";"P22_node_9801";"P22_node_9726";"P22_node_9727";"P22_node_9729";"P22_node_9787";"P22_node_9788";"P22_node_9734";"P22_node_9735";"P22_node_9736";"P22_node_9738";"P22_node_9821";"P22_node_9739";"P22_node_9822";"P22_node_5612";"P22_node_9771";"P22_node_9823";"P22_node_9773";"P22_node_9774";"P22_node_9741";"P22_node_9742";"P22_node_9743";"P22_node_9744";"P22_node_9824";"P22_node_9746";"P22_node_9747";"P22_node_9748";"P22_node_9794";"P22_node_9749";"P22_node_9750";"P22_node_9825";"P22_node_9796";"P22_node_9751";"P22_node_9752";"P22_node_9753";"P22_node_9798";"P22_node_9812";"P22_node_9757";"P22_node_9759";"P22_node_9760";"P22_node_9761";"P22_node_9777";"P22_node_9762"
"P22_node_1587";1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0
"P22_node_1593";0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"P22_node_1653";0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;1;1;0;0;0;1;0;1;0;0;0;1
"P22_node_1589";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;1
"P22_node_1638";0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_1654";0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0
"P22_node_1604";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"P22_node_1586";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;1;0;1;0;1;0
"P22_node_1655";0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_1625";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
