"";"TI_HERB_227";"TI_HERB_228";"TI_HERB_229";"TI_HERB_230";"TI_HERB_231";"TI_HERB_191";"TI_HERB_195";"TI_HERB_232";"TI_HERB_233";"TI_HERB_234";"TI_HERB_235";"TI_HERB_209";"TI_HERB_236";"TI_HERB_237";"TI_HERB_223";"TI_HERB_238";"TI_HERB_239"
"TI_PLANT_261";1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"TI_PLANT_227";0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"TI_PLANT_262";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"TI_PLANT_263";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"TI_PLANT_264";0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"TI_PLANT_265";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"TI_PLANT_266";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"TI_PLANT_267";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"TI_PLANT_268";0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0
"TI_PLANT_269";0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0
"TI_PLANT_270";0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0
"TI_PLANT_220";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"TI_PLANT_271";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"TI_PLANT_272";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"TI_PLANT_273";0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1
"TI_PLANT_274";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"TI_PLANT_275";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
