"";"TI_HERB_1697";"TI_HERB_1698";"TI_HERB_1699";"TI_HERB_1700";"TI_HERB_1701";"TI_HERB_1702";"TI_HERB_1703";"TI_HERB_1704";"TI_HERB_1705";"TI_HERB_1706";"TI_HERB_1707";"TI_HERB_1708";"TI_HERB_1709";"TI_HERB_1710";"TI_HERB_1711";"TI_HERB_1712";"TI_HERB_1713";"TI_HERB_1714";"TI_HERB_1715";"TI_HERB_1716";"TI_HERB_1717";"TI_HERB_1718";"TI_HERB_1719";"TI_HERB_1720";"TI_HERB_1721";"TI_HERB_1722";"TI_HERB_1723";"TI_HERB_1724";"TI_HERB_1725";"TI_HERB_1726";"TI_HERB_1727";"TI_HERB_1728";"TI_HERB_901";"TI_HERB_1729";"TI_HERB_1730";"TI_HERB_1731";"TI_HERB_1732";"TI_HERB_1733";"TI_HERB_1734";"TI_HERB_1735";"TI_HERB_1736";"TI_HERB_1737";"TI_HERB_1738";"TI_HERB_1739";"TI_HERB_1740";"TI_HERB_1741";"TI_HERB_1742";"TI_HERB_1743";"TI_HERB_1744";"TI_HERB_1745";"TI_HERB_1746";"TI_HERB_1747";"TI_HERB_1748";"TI_HERB_1749";"TI_HERB_1750";"TI_HERB_1751";"TI_HERB_1752";"TI_HERB_1753";"TI_HERB_1754";"TI_HERB_1755";"TI_HERB_1756";"TI_HERB_1757";"TI_HERB_1758";"TI_HERB_1759";"TI_HERB_1760";"TI_HERB_1761";"TI_HERB_1762";"TI_HERB_1763";"TI_HERB_1764";"TI_HERB_1765";"TI_HERB_1766";"TI_HERB_1767";"TI_HERB_1768";"TI_HERB_1769";"TI_HERB_1770";"TI_HERB_1771";"TI_HERB_1772";"TI_HERB_1773";"TI_HERB_1774";"TI_HERB_1775";"TI_HERB_1776";"TI_HERB_1777";"TI_HERB_1778";"TI_HERB_1779";"TI_HERB_1780";"TI_HERB_1781";"TI_HERB_1782";"TI_HERB_1783";"TI_HERB_1784";"TI_HERB_1785";"TI_HERB_1786";"TI_HERB_1787";"TI_HERB_1788";"TI_HERB_1789";"TI_HERB_1790"
"TI_PLANT_1927";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0
"TI_PLANT_1928";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"TI_PLANT_1929";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"TI_PLANT_1930";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"TI_PLANT_1931";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"TI_PLANT_1932";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"TI_PLANT_1933";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"TI_PLANT_1934";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"TI_PLANT_1935";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"TI_PLANT_1936";0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
