"";"P22_node_8965";"P22_node_6101";"P22_node_5759";"P22_node_5354";"P22_node_8783";"P22_node_6964";"P22_node_5771";"P22_node_6966";"P22_node_12033";"P22_node_13068";"P22_node_5802";"P22_node_5859";"P22_node_9126";"P22_node_6974";"P22_node_13004";"P22_node_9204";"P22_node_8957";"P22_node_7022";"P22_node_5198"
"P22_node_2871";1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1
"P22_node_3344";0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"P22_node_1749";0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_614";0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0
"P22_node_609";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0
"P22_node_1696";0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;1;0;1
"P22_node_1380";0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0
"P22_node_622";0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0
"P22_node_1710";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0
"P22_node_1331";1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
"P22_node_3304";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"P22_node_151";0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0
"P22_node_27";0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;1;0
