"";"P22_node_5592";"P22_node_13372";"P22_node_13373";"P22_node_13374";"P22_node_13375";"P22_node_13376";"P22_node_13377";"P22_node_13378";"P22_node_13379";"P22_node_13380";"P22_node_5603";"P22_node_8574";"P22_node_5610";"P22_node_9170";"P22_node_12810";"P22_node_13381";"P22_node_5622";"P22_node_13382";"P22_node_13383";"P22_node_13384";"P22_node_6892";"P22_node_13385";"P22_node_13386";"P22_node_13387";"P22_node_5783";"P22_node_5604";"P22_node_13388";"P22_node_13389";"P22_node_5612";"P22_node_13390";"P22_node_13391";"P22_node_5615";"P22_node_13392";"P22_node_13393";"P22_node_13394";"P22_node_13395";"P22_node_8582";"P22_node_13396";"P22_node_13397";"P22_node_5803";"P22_node_13398";"P22_node_13399";"P22_node_10196";"P22_node_5599";"P22_node_13400";"P22_node_5611";"P22_node_13401";"P22_node_13402";"P22_node_5617";"P22_node_8580";"P22_node_5295";"P22_node_13403";"P22_node_6851";"P22_node_5626"
"P22_node_3596";1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
"P22_node_3597";1;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0
"P22_node_3598";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
"P22_node_3599";0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_3600";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0
"P22_node_3601";1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"P22_node_3602";0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;1;0;0;1;1;1;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0
"P22_node_3603";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;1;0;0;0;0;1;0;1;1;0
"P22_node_3604";1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"P22_node_3605";0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
