"";"P22_node_5306";"P22_node_11185";"P22_node_5224";"P22_node_5363";"P22_node_11396";"P22_node_11290";"P22_node_5364";"P22_node_11242";"P22_node_11389";"P22_node_11390";"P22_node_5374";"P22_node_5377";"P22_node_9600";"P22_node_5237";"P22_node_5239";"P22_node_11345";"P22_node_10671";"P22_node_5504";"P22_node_10639";"P22_node_11397";"P22_node_5582"
"P22_node_199";1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0
"P22_node_2481";0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"P22_node_2475";1;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0
"P22_node_2474";0;1;0;1;0;1;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0
"P22_node_2472";0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"P22_node_159";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_2479";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"P22_node_2493";0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0
"P22_node_231";0;0;0;1;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0
"P22_node_150";0;0;0;0;0;0;1;0;0;1;0;0;0;1;1;0;0;0;0;0;1
"P22_node_2494";0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0
"P22_node_2495";0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"P22_node_2444";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0
"P22_node_2432";0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0
