"";"P22_node_15800";"P22_node_15801";"P22_node_5339";"P22_node_11389";"P22_node_5377";"P22_node_15802";"P22_node_15803";"P22_node_8478";"P22_node_12605";"P22_node_5239";"P22_node_15804";"P22_node_14520";"P22_node_15805";"P22_node_15806";"P22_node_15807";"P22_node_15808";"P22_node_6747";"P22_node_6032";"P22_node_5438";"P22_node_15809";"P22_node_15810";"P22_node_14472";"P22_node_5293";"P22_node_15811";"P22_node_15812";"P22_node_5363";"P22_node_5370";"P22_node_5237";"P22_node_15813";"P22_node_12696";"P22_node_7313";"P22_node_5424";"P22_node_15814";"P22_node_15815";"P22_node_15816";"P22_node_15817";"P22_node_6070";"P22_node_5120";"P22_node_11170";"P22_node_15818";"P22_node_15819";"P22_node_15820";"P22_node_9587";"P22_node_15821";"P22_node_15033";"P22_node_5504";"P22_node_10466";"P22_node_14037";"P22_node_15822";"P22_node_15823";"P22_node_7160";"P22_node_7415";"P22_node_15824";"P22_node_15825";"P22_node_15826";"P22_node_15827";"P22_node_11290";"P22_node_11245";"P22_node_15828";"P22_node_15829";"P22_node_5134";"P22_node_5138";"P22_node_15830";"P22_node_9054";"P22_node_15831";"P22_node_15832";"P22_node_15833";"P22_node_13630";"P22_node_15834";"P22_node_5952";"P22_node_6036";"P22_node_6050";"P22_node_6764";"P22_node_15835";"P22_node_15836";"P22_node_9164";"P22_node_15837";"P22_node_6774";"P22_node_15838";"P22_node_7604";"P22_node_5480";"P22_node_15839";"P22_node_15840";"P22_node_15841";"P22_node_7278";"P22_node_15842";"P22_node_15843";"P22_node_14107";"P22_node_15844";"P22_node_15845";"P22_node_5354";"P22_node_5364";"P22_node_5182";"P22_node_5367";"P22_node_14261";"P22_node_15846";"P22_node_5374";"P22_node_15847"
"P22_node_199";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_231";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_151";0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_1562";0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"P22_node_4633";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_4634";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_4635";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"P22_node_2495";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
"P22_node_1350";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"P22_node_1363";0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
