"";"WOL_node_9315";"WOL_node_10000";"WOL_node_1167";"WOL_node_6844";"WOL_node_4372";"WOL_node_5079";"WOL_node_3346";"WOL_node_7210";"WOL_node_4956";"WOL_node_2300";"WOL_node_4370";"WOL_node_4951";"WOL_node_9472";"WOL_node_8530"
"WOL_node_1031";1;0;0;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_4792";0;1;1;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_11738";0;0;1;0;0;0;0;0;0;1;0;0;0;0
"WOL_node_452";0;0;0;1;0;0;0;0;0;1;0;0;0;1
"WOL_node_6693";0;0;0;0;1;0;0;0;0;0;0;1;0;0
"WOL_node_2086";1;0;0;0;0;1;0;0;0;0;0;1;0;0
"WOL_node_928";1;0;0;0;0;0;1;0;0;0;0;0;0;0
"WOL_node_448";0;0;0;0;0;0;0;1;0;0;0;1;0;0
"WOL_node_914";0;0;0;0;0;0;0;0;1;0;0;0;0;1
"WOL_node_12892";0;0;0;1;0;0;0;0;0;1;0;0;0;0
"WOL_node_13607";0;0;0;0;0;0;0;0;0;0;1;1;0;0
"WOL_node_453";0;0;0;0;0;0;0;0;0;0;0;1;0;0
"WOL_node_14126";0;0;0;1;0;0;0;0;0;0;1;0;1;0
"WOL_node_4176";0;0;1;0;0;0;0;0;0;0;0;0;1;1
"WOL_node_6233";0;0;1;0;1;0;0;0;0;0;0;0;0;0
"WOL_node_7227";0;0;1;1;0;1;0;0;0;1;0;0;0;0
"WOL_node_14748";1;0;0;1;0;0;0;0;0;0;0;1;0;1
"WOL_node_14879";1;0;0;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_4204";0;1;0;0;0;1;0;0;0;1;0;1;0;0
"WOL_node_15093";0;0;0;0;0;0;0;0;0;0;1;1;0;0
"WOL_node_6302";0;1;0;0;0;1;0;1;1;0;1;0;0;0
"WOL_node_5318";0;1;0;1;0;0;1;0;0;0;0;0;0;0
"WOL_node_6268";0;0;0;0;0;0;0;1;0;0;0;0;0;1
"WOL_node_13038";1;0;0;1;0;0;0;0;1;0;0;0;0;0
"WOL_node_13124";0;0;0;1;0;0;0;0;1;0;0;0;0;0
"WOL_node_6269";1;0;0;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_6270";0;0;0;0;0;0;1;0;0;0;1;0;1;0
"WOL_node_3161";1;1;0;0;1;0;0;1;0;0;1;0;0;0
"WOL_node_13383";0;0;0;0;0;0;0;0;0;0;0;1;0;0
"WOL_node_12525";0;0;0;1;1;0;0;0;0;1;0;0;0;0
"WOL_node_4106";0;1;0;0;0;1;0;0;0;0;0;0;0;0
"WOL_node_4109";0;0;1;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_4129";0;0;0;0;0;0;0;1;0;0;0;0;0;0
"WOL_node_4133";0;0;0;0;1;1;0;0;0;0;0;0;0;0
"WOL_node_13769";1;0;1;0;0;1;0;0;0;1;0;0;0;1
