"";"M22_node_320";"M22_node_1197";"M22_node_1886";"M22_node_332";"M22_node_1585";"M22_node_702";"M22_node_1380";"M22_node_1425";"M22_node_1440";"M22_node_2418";"M22_node_2455";"M22_node_235";"M22_node_607";"M22_node_1980";"M22_node_2055";"M22_node_2255";"M22_node_2275";"M22_node_2281";"M22_node_465";"M22_node_1502";"M22_node_1071";"M22_node_1781";"M22_node_2391";"M22_node_784";"M22_node_972";"M22_node_2246";"M22_node_1179";"M22_node_2383";"M22_node_2380";"M22_node_2272";"M22_node_2326";"M22_node_581";"M22_node_1113";"M22_node_1224";"M22_node_1439";"M22_node_2406";"M22_node_777";"M22_node_451";"M22_node_910";"M22_node_128";"M22_node_1434";"M22_node_1635";"M22_node_1640";"M22_node_489";"M22_node_257"
"M22_node_1475";1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1
"M22_node_1460";0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;1;1;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;1;1;0;1
"M22_node_1259";0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;1;1;1;0;0;0;0;0;1;0;0;1;1;1;1;1;0;0;1;1;1;1;0;0;0
"M22_node_1335";0;0;1;1;0;1;0;0;1;0;1;0;1;0;0;1;0;0;0;0;0;0;1;1;0;1;1;0;0;0;0;1;0;0;0;1;0;1;0;1;0;0;0;0;0
"M22_node_2486";1;0;0;0;1;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;1;0;0;0;1;1
"M22_node_576";0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;1;0;0;1;1;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;1;0;0
"M22_node_978";1;0;0;1;0;0;1;0;0;0;1;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;1;0;0;1;0;1;0;0;1;0;0;0;0
"M22_node_42";0;0;0;0;0;0;0;1;0;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;1;0;1;1;0;0;0;1;1;1;0;1;0;0
"M22_node_2342";0;0;1;0;0;0;1;0;1;0;1;0;1;0;0;1;1;0;0;1;1;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;1;1;0;0;1;0;1;0;0
"M22_node_26";1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;1;0;0;0;1;0;0;0;1;0;1;0;1;1;1;1;0;0;0;0;0;0;0;0;1
"M22_node_930";1;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;1;0;1;1;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0
"M22_node_417";1;0;0;0;0;0;1;0;0;1;0;1;1;0;1;1;0;0;0;0;1;0;1;1;1;0;0;0;1;1;0;0;0;0;1;0;1;1;0;1;1;0;1;0;0
"M22_node_1287";1;0;1;1;0;0;1;0;0;0;0;0;1;0;0;0;1;0;1;1;1;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;1;0
