"";"P22_node_11242";"P22_node_11280";"P22_node_5363";"P22_node_11290";"P22_node_5364";"P22_node_5368";"P22_node_11390";"P22_node_5374";"P22_node_5377";"P22_node_9600";"P22_node_5237";"P22_node_11114"
"P22_node_2482";1;0;0;1;0;0;0;0;0;0;0;0
"P22_node_2444";0;1;0;0;1;0;0;0;0;0;1;0
"P22_node_231";0;0;1;0;0;0;1;0;0;0;1;0
"P22_node_2471";0;0;0;1;0;0;0;0;0;0;0;1
"P22_node_2481";0;0;0;0;1;0;0;0;0;1;0;0
"P22_node_396";0;1;0;0;0;1;0;0;1;0;0;0
"P22_node_2474";1;0;0;0;0;0;1;0;0;0;0;1
"P22_node_2479";0;0;1;1;0;0;0;1;0;0;0;0
"P22_node_2489";0;0;0;0;1;1;0;0;1;0;0;0
"P22_node_199";0;0;0;0;0;1;0;0;0;1;1;0
"P22_node_2485";0;0;1;0;0;0;0;0;0;0;1;0
"P22_node_150";0;0;0;0;0;0;0;0;1;1;0;1
"P22_node_2478";0;0;1;0;0;1;0;1;0;0;0;0
