"";"WOL_node_6544";"WOL_node_10334";"WOL_node_12329";"WOL_node_1143";"WOL_node_1228";"WOL_node_2632";"WOL_node_5400";"WOL_node_6069";"WOL_node_7094";"WOL_node_7822";"WOL_node_8848";"WOL_node_9430";"WOL_node_9507";"WOL_node_9508";"WOL_node_10915";"WOL_node_10941";"WOL_node_10957";"WOL_node_11639";"WOL_node_11863";"WOL_node_12442";"WOL_node_12637";"WOL_node_1231";"WOL_node_5245";"WOL_node_2205";"WOL_node_7854";"WOL_node_69";"WOL_node_4676";"WOL_node_5393";"WOL_node_9441";"WOL_node_8077";"WOL_node_10353";"WOL_node_1297";"WOL_node_5951";"WOL_node_10196";"WOL_node_8789";"WOL_node_9429";"WOL_node_11356";"WOL_node_9443";"WOL_node_1086";"WOL_node_2154";"WOL_node_4237";"WOL_node_7144";"WOL_node_9425";"WOL_node_2068";"WOL_node_10190";"WOL_node_5808";"WOL_node_10983";"WOL_node_12472";"WOL_node_115";"WOL_node_3867";"WOL_node_5383";"WOL_node_6384";"WOL_node_4436";"WOL_node_9442";"WOL_node_330";"WOL_node_1270";"WOL_node_2027";"WOL_node_2928";"WOL_node_3027";"WOL_node_4317";"WOL_node_5229";"WOL_node_6837";"WOL_node_9391";"WOL_node_11472";"WOL_node_3803";"WOL_node_1073";"WOL_node_1076";"WOL_node_2261";"WOL_node_4681";"WOL_node_9390";"WOL_node_12717";"WOL_node_10200";"WOL_node_11331";"WOL_node_4761";"WOL_node_9099";"WOL_node_8873";"WOL_node_4278";"WOL_node_6492";"WOL_node_9524";"WOL_node_10110";"WOL_node_7853";"WOL_node_15293";"WOL_node_11483";"WOL_node_5433";"WOL_node_2050";"WOL_node_7492";"WOL_node_11033";"WOL_node_5308";"WOL_node_1040";"WOL_node_11487";"WOL_node_11473";"WOL_node_6646";"WOL_node_10345";"WOL_node_9746";"WOL_node_3026";"WOL_node_5427"
"WOL_node_4736";1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_12152";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_1031";0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_102";0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_104";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"WOL_node_223";0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_234";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"WOL_node_945";0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_598";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_917";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0
"WOL_node_609";0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
