"";"P22_node_5363";"P22_node_11290";"P22_node_5367";"P22_node_11389";"P22_node_9588";"P22_node_5374";"P22_node_5377";"P22_node_9600";"P22_node_9769";"P22_node_11397";"P22_node_11400";"P22_node_11114";"P22_node_10672";"P22_node_5504"
"P22_node_199";1;0;0;1;0;0;0;0;0;0;0;0;1;0
"P22_node_2444";0;1;0;0;1;0;0;0;0;0;0;0;0;0
"P22_node_2480";1;0;1;0;0;0;0;0;0;0;0;1;0;0
"P22_node_2456";0;0;0;1;0;0;0;0;0;0;0;0;1;0
"P22_node_150";0;0;0;0;1;1;0;0;0;0;1;0;0;0
"P22_node_159";0;0;1;0;0;1;0;0;0;1;0;1;0;0
"P22_node_2461";0;0;0;0;0;0;1;0;0;0;0;0;1;1
"P22_node_151";0;0;0;0;0;0;0;1;0;0;1;0;0;0
"P22_node_2469";0;0;0;0;0;0;0;0;1;0;1;0;0;0
"P22_node_231";0;0;0;0;0;0;0;1;0;1;0;0;0;0
