"";"WOL_node_11483";"WOL_node_4313";"WOL_node_10996";"WOL_node_10201";"WOL_node_11138";"WOL_node_2418";"WOL_node_9187";"WOL_node_10197";"WOL_node_2254";"WOL_node_11142";"WOL_node_1192";"WOL_node_1151";"WOL_node_1189";"WOL_node_9388";"WOL_node_15287";"WOL_node_11141";"WOL_node_4674";"WOL_node_9387";"WOL_node_7690";"WOL_node_11143";"WOL_node_10119";"WOL_node_11139";"WOL_node_10711";"WOL_node_10842";"WOL_node_12330";"WOL_node_4282";"WOL_node_4277";"WOL_node_3106";"WOL_node_11897";"WOL_node_4569";"WOL_node_7001"
"WOL_node_7079";1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;1;0;0;0;1;0;0;1;0;0;0;0
"WOL_node_15657";0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;1;0;0;1;0;1;0;1;1;0;0;1
"WOL_node_11815";0;1;1;0;0;0;0;0;0;1;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0
"WOL_node_11804";0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0
"WOL_node_11799";0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1
"WOL_node_11805";0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0
"WOL_node_9937";1;0;1;0;0;0;1;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_198";0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1
"WOL_node_3059";1;0;0;0;1;0;1;0;1;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0
"WOL_node_10791";0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1
"WOL_node_8652";0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0
"WOL_node_197";0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;1
"WOL_node_4316";0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;1;0;1;0;0;0;0;0
"WOL_node_11803";1;0;0;0;0;0;0;0;1;1;1;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0
"WOL_node_10781";0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"WOL_node_11812";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0
"WOL_node_9932";1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;1;0;0;0;1;0;0;0;1;0;0;1;0
"WOL_node_7070";0;0;0;0;0;0;1;1;0;1;1;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0
"WOL_node_9289";1;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0
"WOL_node_9406";0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;1;1;1;0;0;0;1;0;0;0;0;1;0
