"";"TI_HERB_4135";"TI_HERB_4136";"TI_HERB_4137";"TI_HERB_4138";"TI_HERB_4139";"TI_HERB_4140";"TI_HERB_4141";"TI_HERB_4142";"TI_HERB_4143";"TI_HERB_4144";"TI_HERB_4145";"TI_HERB_4146";"TI_HERB_4147";"TI_HERB_4148";"TI_HERB_4149";"TI_HERB_4150";"TI_HERB_4151";"TI_HERB_4152";"TI_HERB_4153";"TI_HERB_4154";"TI_HERB_4155";"TI_HERB_4156";"TI_HERB_4157";"TI_HERB_4158";"TI_HERB_4159";"TI_HERB_4160";"TI_HERB_4161";"TI_HERB_4162";"TI_HERB_4163";"TI_HERB_4164";"TI_HERB_4165";"TI_HERB_4166";"TI_HERB_4167";"TI_HERB_4168"
"TI_PLANT_3621";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"TI_PLANT_3622";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"TI_PLANT_3623";0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"TI_PLANT_3624";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"TI_PLANT_3625";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"TI_PLANT_3626";0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"TI_PLANT_3627";0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"TI_PLANT_3628";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"TI_PLANT_3629";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"TI_PLANT_3630";1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
