"";"mangal_node_0090";"mangal_node_3400";"mangal_node_3399";"mangal_node_3318";"mangal_node_3412";"mangal_node_3313";"mangal_node_3378";"mangal_node_3384";"mangal_node_3306";"mangal_node_3413";"mangal_node_3316";"mangal_node_3364";"mangal_node_3395";"mangal_node_3402";"mangal_node_3396";"mangal_node_3414"
"mangal_node_3387";1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"mangal_node_3298";1;1;0;0;1;0;1;1;0;0;0;0;0;0;0;1
"mangal_node_3405";0;0;1;1;0;1;1;0;0;0;0;0;0;1;1;0
"mangal_node_3294";0;1;0;1;0;1;0;1;1;0;0;1;0;0;0;1
"mangal_node_3390";1;0;0;0;1;1;1;0;1;0;0;0;0;1;0;0
"mangal_node_3406";1;1;1;1;1;1;0;0;1;0;1;1;0;0;1;0
"mangal_node_3335";0;0;1;0;0;0;1;1;0;0;0;0;1;0;0;0
"mangal_node_3389";0;1;0;1;0;1;0;1;0;1;0;0;0;0;1;0
"mangal_node_3393";1;0;0;0;1;0;1;1;1;1;0;0;0;0;0;0
"mangal_node_3327";0;0;0;0;1;0;0;0;0;1;0;0;0;1;1;1
"mangal_node_3392";0;0;1;0;0;0;0;1;1;1;1;0;0;0;1;0
"mangal_node_3407";1;1;0;1;0;0;1;0;0;0;1;1;1;0;0;1
"mangal_node_3409";0;1;0;0;1;0;1;1;0;0;0;0;1;0;1;1
"mangal_node_3408";0;0;1;0;0;0;0;1;0;0;0;1;0;1;1;1
"mangal_node_3410";1;1;1;1;1;1;0;0;0;0;0;0;1;0;1;0
"mangal_node_3411";1;1;0;0;0;0;0;0;0;0;1;0;1;1;0;1
