"";"AI22_node_171";"AI22_node_594";"AI22_node_659";"AI22_node_636";"AI22_node_646";"AI22_node_1203";"AI22_node_1208";"AI22_node_1386";"AI22_node_1387";"AI22_node_1389";"AI22_node_2371";"AI22_node_3023";"AI22_node_3184";"AI22_node_3366";"AI22_node_268";"AI22_node_270";"AI22_node_313";"AI22_node_317";"AI22_node_319";"AI22_node_331"
"AI22_node_1240";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"AI22_node_2740";0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0
"AI22_node_2445";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
"AI22_node_702";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"AI22_node_2327";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"AI22_node_490";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"AI22_node_1807";0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1
"AI22_node_80";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"AI22_node_464";0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0
"AI22_node_2273";0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0
"AI22_node_465";0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0
"AI22_node_2149";0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0
