"";"D21_node_507";"D21_node_1150";"D21_node_1329";"D21_node_1047";"D21_node_76";"D21_node_87";"D21_node_308";"D21_node_339";"D21_node_783";"D21_node_1039";"D21_node_92";"D21_node_797"
"D21_node_32";1;0;0;0;0;0;0;0;0;1;0;0
"D21_node_17";0;1;0;1;0;0;0;0;0;0;0;0
"D21_node_28";0;0;1;0;0;0;0;0;1;0;0;0
"D21_node_30";0;1;0;1;0;0;0;0;1;0;1;0
"D21_node_98";0;0;0;0;1;0;0;0;0;0;0;0
"D21_node_207";0;0;0;0;0;1;0;1;0;0;0;0
"D21_node_929";0;0;0;0;0;1;1;0;0;0;0;0
"D21_node_241";0;0;0;0;0;0;1;1;0;0;0;0
"D21_node_242";0;0;0;1;0;1;0;0;1;0;0;0
"D21_node_327";0;0;0;0;0;0;0;1;0;1;0;0
"D21_node_392";0;0;1;0;0;1;1;0;0;0;1;0
"D21_node_413";0;0;0;0;0;0;0;0;0;0;1;1
"D21_node_452";0;0;0;0;0;0;0;0;0;0;1;0
"D21_node_455";0;1;0;0;1;0;0;0;0;0;0;1
"D21_node_520";0;1;1;0;0;0;0;0;0;0;1;0
"D21_node_604";0;0;0;0;0;0;0;0;0;1;0;1
"D21_node_641";0;0;0;0;1;0;0;1;0;0;0;0
"D21_node_667";0;1;0;0;0;0;0;0;0;0;0;0
"D21_node_694";0;0;0;1;0;0;0;0;0;0;0;1
"D21_node_738";0;0;0;1;1;0;0;0;1;0;0;0
"D21_node_860";0;0;0;0;0;0;1;1;0;0;0;0
"D21_node_891";1;0;0;0;0;0;0;0;0;1;0;0
"D21_node_911";0;0;1;1;1;0;1;1;0;0;0;0
"D21_node_916";0;0;0;1;0;0;1;0;0;0;0;0
"D21_node_932";0;0;1;0;0;0;0;1;0;1;0;0
"D21_node_1230";0;0;0;0;0;0;0;0;0;1;0;0
"D21_node_1111";1;1;0;0;0;0;0;0;0;0;0;0
"D21_node_1255";0;0;0;0;0;0;0;0;0;1;0;0
"D21_node_1279";0;0;0;0;0;0;0;0;1;1;0;0
"D21_node_1356";1;0;0;0;0;0;0;0;0;1;0;1
"D21_node_1405";0;0;0;0;0;0;0;0;1;0;1;1
"D21_node_1415";0;0;0;0;1;0;0;0;0;0;1;1
"D21_node_1416";0;1;0;0;0;0;0;0;0;0;0;0
"D21_node_1418";1;0;0;0;0;1;0;1;0;0;1;0
"D21_node_1425";0;0;0;0;0;0;1;1;0;0;0;0
