"";"P22_node_5592";"P22_node_5354";"P22_node_5600";"P22_node_8563";"P22_node_5622";"P22_node_5623";"P22_node_15849";"P22_node_8585";"P22_node_15850";"P22_node_13476";"P22_node_5626";"P22_node_15851";"P22_node_15854";"P22_node_5599";"P22_node_15898";"P22_node_13389";"P22_node_15860";"P22_node_15890";"P22_node_5617";"P22_node_8565";"P22_node_15872";"P22_node_15882";"P22_node_9003";"P22_node_15853";"P22_node_15855";"P22_node_11233";"P22_node_15857";"P22_node_15858";"P22_node_15861";"P22_node_5611";"P22_node_15899";"P22_node_10126";"P22_node_15863";"P22_node_15881";"P22_node_5625";"P22_node_15864";"P22_node_8579";"P22_node_12949";"P22_node_15865";"P22_node_5619";"P22_node_15867";"P22_node_15868";"P22_node_15869";"P22_node_15870";"P22_node_15871";"P22_node_15873";"P22_node_15889";"P22_node_13608";"P22_node_15900";"P22_node_15848";"P22_node_5613";"P22_node_15866";"P22_node_15901";"P22_node_7682";"P22_node_15878";"P22_node_5604";"P22_node_15902";"P22_node_15895";"P22_node_15875";"P22_node_15903";"P22_node_5614";"P22_node_8568";"P22_node_15904";"P22_node_5607";"P22_node_15862";"P22_node_15905";"P22_node_15906";"P22_node_5198";"P22_node_15896"
"P22_node_4641";1;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0
"P22_node_241";0;1;0;0;0;1;0;0;0;0;0;0;1;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;1;0;1;0;1;0;0
"P22_node_243";1;0;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0;1;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0
"P22_node_4644";0;1;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;1;1;1;0;0;0;0;0;1;0;1;0;0;1;0;0;1;1;1;0;1;1;0;1;0;1;0;1;0
"P22_node_245";0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0
"P22_node_247";0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;1;0;0;0;0;0;1;1;0;0;1;0;0;1;1;0;1;0;1;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0
"P22_node_250";0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;1;0;1;1;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;1
"P22_node_246";0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;1;0;0;0;1;1;1;0;0
"P22_node_249";0;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;1;0
"P22_node_4643";0;1;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;1;1;0;1;0;0;1;1;0;1;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0
