"";"Arizelocichla milanjensis";"Arizelocichla nigriceps";"Columba arquatrix";"Aplopelia larvata";"Nigrita canicapillus";"Onychognathus walleri";"Phyllastrephus cabanisi";"Phyllastrephus strepitans";"Poeoptera kenricki";"Pholia sharpii";"Pogonocichla stellata";"Tauraco hartlaubi";"Turdus olivaceus";"Zosterops poliogastrus"
"Cissus oliveri";0;3;0;0;0;0;0;0;0;0;0;0;0;0
"Galiniera saxifraga";2;7;0;0;1;0;1;0;0;0;0;0;0;0
"Keetia gueinzii";0;1;0;0;0;0;1;0;0;0;0;0;0;0
"Lasianthus kilimandscharicus";0;2;0;0;3;0;2;2;0;0;0;0;0;0
"Macaranga capensis";1;8;3;0;0;2;5;0;4;1;0;18;0;9
"Pauridiantha paucinervis";7;38;0;1;3;0;10;6;0;0;1;1;0;66
"Psychotria cyathicalyx";0;2;0;0;0;0;0;0;0;0;0;0;1;0
"Psychotria fractinervata";0;1;0;0;0;0;0;0;0;0;0;0;0;0
"Rubus steudneri";0;0;0;0;0;0;0;0;0;0;0;0;1;0
"Smilax anceps";0;2;0;0;0;0;0;0;0;0;0;0;0;0
