"";"Turdus merula";"Turdus pilaris";"Turdus iliacus";"Turdus philomelos";"Poecile palustris";"Cyanistes caeruleus";"Parus major";"Aegithalos caudatus";"Sitta europaea";"Sylvia atricapilla";"Erithacus rubecula";"Columba palumbus";"Pyrrhula pyrrhula";"Fringilla coelebs"
"Sambucus nigra";301;0;28;19;147;175;95;0;2;4;4;35;1;10
"Crataegus monogyna";764;1482;3242;15;0;0;0;0;0;0;0;20;0;0
"Rubus fruticosus";20;0;0;1;16;17;0;0;0;0;0;0;2;0
"Lonicera periclymenum";0;0;0;0;17;3;0;0;0;0;0;0;0;0
"Bryonia dioica";0;0;0;0;36;1;2;0;0;0;0;0;2;2
"Dioscorea communis";0;0;0;0;3;0;0;0;0;0;0;0;0;0
"Solanum dulcamara";0;0;0;0;1;0;0;0;1;1;0;0;0;0
"Prunus domestica";138;303;209;0;0;0;0;0;0;0;0;0;0;0
"Rosa canina";52;0;0;0;0;0;0;0;0;0;0;9;0;0
"Hedera helix";163;0;0;15;0;0;0;29;0;1;2;24;0;0
"Euonymus europaeus";6;0;0;0;14;0;0;0;0;0;1;0;0;0
