"";"Empidonax virescens";"Myiarchus crinitus";"Tyrannus tyrannus";"Catharus minimus";"Catharus ustulatus";"Hylocichla mustelina";"Dumetella carolinensis";"Setophaga pensylvanica";"Seiurus aurocapilla";"Geothlypis formosa"
"Dendropanax arboreus";0;0;0;2;10;0;0;0;0;0
"Schefflera systyla";0;0;0;0;2;1;0;0;0;0
"Cecropia obtusifolia";0;0;0;0;0;2;0;0;0;0
"Clibadium surinamense";0;0;0;0;1;0;1;0;0;0
"Doliocarpus dentatus";0;0;0;0;3;0;0;0;0;0
"Pinzona coriacea";0;0;0;0;4;5;0;0;0;0
"Besleria columneoides";0;0;0;0;0;3;0;0;0;0
"Nectandra cuspidata";0;0;0;0;12;3;2;0;0;0
"Hampea appendiculata";0;0;0;0;0;2;1;0;0;0
"Miconia approximata";0;0;0;0;0;19;0;0;0;0
"Clidemia dentata";0;1;0;6;6;2;2;1;5;3
"Miconia subcrustulata";5;6;1;11;40;12;8;5;9;4
"Henriettea tuberculosa";0;0;0;0;0;14;0;0;0;0
"Miconia affinis";0;0;4;0;39;7;4;2;2;1
"Miconia appendiculata";0;0;0;0;1;4;0;0;0;0
"Miconia prasina";0;0;0;1;3;3;0;0;0;0
"Miconia barbinervis";0;0;0;3;1;1;1;0;0;0
"Miconia brenesii";0;0;0;0;2;0;0;0;0;0
"Miconia centrodesma";0;0;0;0;4;3;0;0;0;0
"Miconia multispicata";0;0;0;0;5;4;0;0;0;0
"Miconia nervosa";0;0;0;0;4;1;0;0;0;0
"Miconia simplex";0;0;0;0;1;10;0;0;0;0
"Miconia smaragdina";0;0;0;0;9;10;0;0;0;0
"Miconia magnifolia";0;0;0;0;0;5;0;0;0;0
"Ardisia auriculata";0;0;0;1;0;2;0;0;0;0
"Ardisia nigropunctata";0;0;0;0;7;5;3;0;0;0
"Passiflora auriculata";0;0;0;0;2;1;0;0;0;0
"Phytolacca rivinoides";0;0;0;0;2;1;5;0;0;0
"Trichostigma polyandrum";0;0;1;0;2;0;0;0;0;0
"Bertiera guianensis";0;0;0;0;2;0;0;0;0;0
"Palicourea elata";0;0;0;0;3;4;0;0;0;0
"Hamelia patens";0;0;0;1;1;0;0;0;0;0
"Palicourea brachiata";0;0;0;0;3;0;1;0;0;0
"Ditrichanthus seemannii";0;0;0;0;5;2;0;0;0;0
"Psychotria grandis";0;0;0;1;2;1;0;0;0;0
"Notopleura epiphytica";0;0;0;0;1;0;1;0;0;0
"Palicourea tenerior";0;0;0;1;6;3;0;0;0;0
"Palicourea cyanococca";0;0;0;3;1;10;13;0;0;0
"Psychotria psychotriifolia";0;0;0;6;0;0;0;0;0;0
"Sabicea villosa";0;0;0;1;5;2;0;0;0;0
"Sabicea sp";0;0;0;0;3;0;0;0;0;0
"Cestrum racemosum";0;0;0;1;3;0;0;0;0;0
"Witheringia asterotricha";0;0;0;1;2;5;0;0;0;0
"Urera baccifera";0;0;0;1;0;0;0;0;0;0
