"";"Chloris chloris";"Cyanistes caeruleus";"Dendrocopos major";"Erithacus rubecula";"Ficedula hypoleuca";"Muscicapa striata";"Parus major";"Phoenicurus phoenicurus";"Sylvia atricapilla";"Sylvia borin";"Sylvia cantillans";"Sylvia communis";"Sylvia melanocephala";"Sylvia undata";"Turdus merula";"Turdus philomelos"
"Arbutus unedo";0;0;0;10;0;0;0;0;46;2;0;0;2;0;6;5
"Crataegus monogyna";0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
"Daphne gnidium";0;0;0;0;0;0;0;0;2;2;0;0;6;0;0;0
"Ficus carica";1;2;2;3;1;0;0;0;92;79;0;0;1;0;16;0
"Frangula alnus";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"Hedera helix";0;0;0;1;0;0;0;0;125;0;0;0;0;0;5;2
"Lonicera etrusca";0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0
"Lonicera periclymenum";0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0
"Myrtus communis";0;0;0;1;0;0;0;0;3;0;0;0;0;0;1;0
"Olea europaea";0;0;0;1;0;0;0;0;3;0;0;0;0;0;0;0
"Olea angustifolia";0;0;0;2;1;0;0;0;81;3;0;0;5;0;0;0
"Phytolacca americana";0;0;0;0;2;0;0;0;6;2;0;0;0;0;0;0
"Pistacia lentiscus";0;0;0;36;13;2;0;1;363;23;0;5;66;3;4;3
"Rhamnus alaternus";0;0;0;14;10;0;1;0;114;96;0;4;70;0;22;0
"Rosa sempervirens";0;0;0;0;0;0;0;0;9;0;0;0;0;0;2;0
"Rubia peregrina";0;0;0;3;0;0;0;0;28;1;0;1;4;0;1;0
"Rubus ulmifolius";0;6;0;48;19;0;0;0;10;31;1;11;17;1;3;0
"Rumex crispus";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"Sambucus nigra";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"Smilax aspera";0;0;0;7;5;0;0;0;271;12;0;0;0;0;5;0
"Solanum americanum";0;0;0;0;1;0;0;0;23;5;0;1;4;0;1;0
"Viburnum tinus";0;0;0;11;1;1;0;0;19;0;0;0;1;0;0;2
"Vitis vinifera";0;0;0;4;0;0;0;0;23;8;0;0;1;0;17;0
