"";"Turdus merula";"Cyanoramphus novaezelandiae";"Philesturnus carunculatus";"Notiomystis cincta";"Prosthemadera novaeseelandiae";"Zosterops lateralis";"Mohoua albicilla"
"Aristotelia serrata";5;0;0;0;2;2;0
"Coprosma grandifolia";0;1;4;0;6;3;1
"Coprosma repens";1;0;0;0;3;0;0
"Coprosma robusta";1;0;1;0;8;1;1
"Fuchsia excorticata";0;0;0;0;1;1;0
"Geniostoma rupestre";2;0;0;0;1;1;0
"Macropiper excelsum";7;0;0;1;3;0;0
"Melicytus ramiflorus";8;4;0;9;8;9;2
"Myoporum laetum";1;0;0;0;6;1;0
"Neopanax arboreus";1;0;0;1;3;11;1
"Schefflera digitata";0;0;0;0;1;0;0
