"";"Arizelocichla milanjensis";"Arizelocichla nigriceps";"Columba arquatrix";"Geokichla piaggiae";"Linurgus olivaceus";"Nigrita canicapillus";"Onychognathus walleri";"Phyllastrephus cabanisi";"Poeoptera femoralis";"Pogonocichla stellata";"Tauraco hartlaubi";"Turdus olivaceus";"Zosterops poliogastrus"
"Discopodium eremanthum";0;1;0;0;0;0;0;0;0;0;0;1;0
"Galiniera saxifraga";2;4;0;1;0;0;0;10;0;0;0;1;0
"Lasianthus kilimandscharicus";4;142;0;6;0;3;0;83;0;3;0;28;3
"Macaranga capensis";8;2;1;0;0;0;0;14;0;0;0;0;0
"Ocotea usambarensis";0;1;0;0;0;0;0;0;0;0;0;0;0
"Pauridiantha paucinervis";2;20;0;1;0;1;0;30;0;1;0;3;66
"Psychotria cyathicalyx";0;5;0;0;0;0;0;0;0;1;0;0;0
"Psychotria fractinervata";0;4;0;0;0;0;0;5;0;1;0;1;0
"Psychotria petiginosa";0;1;0;0;0;0;0;0;0;0;0;2;0
"Rubus steudneri";0;1;0;0;0;0;0;0;0;0;0;0;0
"Astropanax myrianthus";0;10;1;0;2;2;0;0;0;0;1;3;28
"Astropanax volkensii";0;3;0;0;1;2;7;0;6;0;12;1;5
"Tiliacora funifera";0;1;0;0;0;5;0;0;0;0;0;0;32
