;Pyrrhulagra portoricensis;Margarops fuscatus;Patagioenas squamosa;Turdus plumbeus;Vireo altiloquus;Spindalis portoricensis;Euphonia musica;Tyrannus caudifasciatus;Tyrannus dominicensis;Molothrus bonariensis;Myiarchus antillarum;Coereba flaveola;Vireo latimeri
Guarea guidonia;13;11;0;4;1;0;0;4;0;0;1;0;0
Clusia rosea;3;3;0;0;5;0;0;0;0;2;1;1;1
Nectandra coriacea;0;6;3;4;0;0;0;0;2;0;0;0;0
Roystonea borinquena;0;0;11;2;0;0;0;0;0;0;0;0;0
Cupania americana;6;0;0;4;0;0;0;0;2;0;0;0;0
Cecropia schreberiana;1;0;2;1;0;0;0;0;0;0;0;0;0
Clusia gundlachii;1;2;1;0;0;0;0;0;0;0;0;0;0
Hieronyma clusioides;0;0;0;0;0;3;0;0;0;0;0;0;0
Marcgravia brownei;0;1;0;1;0;0;0;0;0;0;0;0;0
Persea americana;0;1;0;0;0;1;0;0;0;0;0;0;0
Alchornea latifolia;1;0;0;0;0;0;0;0;0;0;0;0;0
Anthurium obtusum;0;0;0;0;0;0;1;0;0;0;0;0;0
Ardisia obovata;0;0;0;0;0;1;0;0;0;0;0;0;0
Bursera simaruba;1;0;0;0;0;0;0;0;0;0;0;0;0
Chrysophyllum argenteum;0;1;0;0;0;0;0;0;0;0;0;0;0
Comocladia glabra;1;0;0;0;0;0;0;0;0;0;0;0;0
Dendropemon bicolor;0;0;0;0;0;0;1;0;0;0;0;0;0
Guapira fragrans;0;1;0;0;0;0;0;0;0;0;0;0;0
Petitia domingensis;0;0;1;0;0;0;0;0;0;0;0;0;0
Syzygium malaccense;0;1;0;0;0;0;0;0;0;0;0;0;0
Zanthoxylum martinicense;0;1;0;0;0;0;0;0;0;0;0;0;0
