"";"Abroscopus albogularis";"Aegithalos concinnus";"Alcippe davidi";"Culicicapa ceylonensis";"Dicrurus hottentottus";"Garrulax cineraceus";"Garrulax sannio";"Leiothrix lutea";"Monticola cinclorhynchus";"Myophonus caeruleus";"Pardaliparus venustulus";"Picus canus";"Pomatorhinus ruficollis";"Psittiparus gularis";"Seicercus burkii";"Sinosuthora webbiana";"Spizixos semitorques";"Cyanoderma ruficeps";"Tarsiger cyanurus";"Trochalopteron affine";"Turdus mandarinus";"Urocissa erythroryncha";"Zosterops japonicus"
"Cornus controversa";4;114;18;2;0;0;23;0;0;8;2;1;6;1;4;4;7;2;0;0;1;6;22
"Choerospondias axillaris";0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
"Eurya hebeclados";0;0;9;0;0;0;0;0;0;1;0;0;8;0;0;0;0;0;0;0;0;0;0
"Ilex macrocarpa";0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;3;0;0;0;0
"Myrsine semiserrata";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0
"Pistacia chinensis";7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;62
"Pittosporum xylocarpum";0;0;0;0;0;1;0;0;0;6;0;0;2;0;0;0;0;0;21;1;0;0;0
"Rhus chinensis";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
"Symplocos cochinchinensis";0;0;0;0;0;0;8;0;1;7;0;0;0;0;0;0;0;0;2;0;0;0;0
"Toxicodendron succedaneum";0;0;4;0;5;0;0;20;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
