"";"Horornis diphone";"Zosterops japonicus";"Cardinalis cardinalis";"Leiothrix lutea";"Paroaria coronata";"Pycnonotus cafer";"Pycnonotus jocosus";"Spilopelia chinensis";"Kittacincla malabarica";"Geopelia striata"
"Ardisia elliptica";0;1;0;0;0;0;1;0;0;0
"Bischofia javanica";0;1;0;0;0;0;0;0;0;0
"Clidemia hirta";0;49;4;100;2;3;24;0;3;1
"Lantana camara";0;0;0;1;0;0;0;0;0;0
"Passiflora suberosa";0;2;0;2;0;2;0;0;0;0
"Pipturus albidus";0;0;0;0;0;0;1;0;0;0
"Psidium cattleyanum";0;3;0;0;0;0;0;0;0;0
"Psydrax odorata";0;2;0;4;0;0;1;0;0;0
"Rubus rosifolius";0;1;0;3;0;0;2;0;0;0
"Schinus terebinthifolius";0;6;0;4;0;0;0;0;0;0
"Trema orientalis";1;28;0;23;0;0;18;1;1;0
"Tanarius mappa";0;7;0;7;0;0;3;0;0;0
"Cecropia obtusifolia";0;0;0;0;0;1;1;0;0;0
"Macaranga tanarius";0;0;0;1;0;0;0;0;0;0
