;Catharus ustulatus;Machaeropterus regulus;Manacus manacus;Lepidothrix coronata;Pseudopipra pipra;Maschalethraupis surinama;Tangara schrankii
Miconia minutiflora;0;1;0;4;5;0;0
Miconia ternatifolia;0;0;0;4;6;0;0
Miconia splendens;1;0;0;2;0;0;0
Miconia dolichorrhyncha;0;1;0;0;4;1;1
Miconia wittii;0;0;0;1;2;1;0
Miconia phanerostila;0;1;0;0;2;0;1
Miconia duckei;3;2;4;4;24;4;0
Clidemia hirta;1;0;0;0;1;2;0
Miconia cucullata;0;3;1;3;5;1;0
Miconia heteroclita;0;0;0;0;2;0;0
Henriettea_GBIFresolved_net_060;0;2;0;1;2;0;0
Miconia araneifera;0;0;0;0;2;0;0
Miconia tococa;0;3;0;0;1;1;0
Miconia neoepiphytica;0;0;0;1;0;0;0
Miconia poeppigii;0;0;0;0;1;0;0
Miconia tetragona;0;0;0;0;1;0;0
Loreya arborescens;0;0;0;0;1;0;0
Psychotria deflexa;0;0;0;2;0;0;0
Psychotria remota;0;0;0;1;2;0;0
Palicourea punicea;0;0;0;0;2;0;0
Coussapoa parvifolia;0;1;0;0;1;1;2
Ficus americana;0;0;0;0;1;1;0
Coussapoa_net_052;0;0;0;0;0;0;2
Alchornea triplinervia;0;0;1;0;0;0;0
Croton schiedeanus;1;0;0;0;0;0;0
Anthurium acaule;0;0;0;0;1;0;0
Codonanthe_GBIFresolved_net_060;1;0;0;0;0;0;0
Sorocea_GBIFresolved_net_060;0;0;0;0;1;0;0
Iryanthera grandis;0;0;0;0;1;0;0
Souroubea guianensis;1;0;1;0;1;1;1
Coussapoa villosa;1;0;0;0;0;1;0
Clusia flavida;0;0;0;0;5;1;1
Philodendron cuneatum;0;0;0;1;1;1;0
Phytolacca rivinoides;0;0;0;0;3;0;0
