"";"Fringilla coelebs";"Sylvia atricapilla";"Turdus merula";"Pyrrhula murina";"Serinus canaria"
"Carex viridula";1;0;0;0;0
"Potentilla indica";0;2;2;0;1
"Fragaria vesca";0;2;0;0;0
"Hedera azorica";0;1;0;0;0
"Hedychium gardnerianum";0;3;0;0;0
"Holcus lanatus";0;0;0;0;1
"Hypericum himalaicum";0;0;0;2;0
"Laurus azorica";0;0;1;0;0
"Leontodon rigens";0;0;0;1;0
"Leycesteria formosa";0;2;0;0;0
"Myrica faya";0;2;0;0;0
"Pittosporum undulatum";0;1;1;0;0
"Potentilla erecta";0;0;1;0;0
"Rubus ulmifolius";0;1;0;0;0
"Solanum americanum";1;1;0;0;0
"Sonchus tenerrimus";0;0;0;1;0
