;Spindalis portoricensis;Pyrrhulagra portoricensis;Vireo altiloquus;Turdus plumbeus;Coereba flaveola;Tyrannus dominicensis;Nesospingus speculiferus;Melanerpes portoricensis;Tyrannus caudifasciatus;Patagioenas squamosa;Euphonia musica;Icterus dominicensis;Myiarchus antillarum;Vireo flavifrons;Vireo latimeri
Cecropia schreberiana;17;4;5;2;5;1;2;1;0;0;1;0;0;0;0
Guarea guidonia;0;13;5;0;0;1;0;1;2;0;0;0;1;1;0
Didymopanax morototoni;7;0;0;4;1;4;0;0;0;0;0;0;0;0;0
Alchornea latifolia;0;2;3;0;0;0;0;0;0;0;0;0;0;0;0
Dendropanax arboreus;1;3;0;1;0;0;0;0;0;0;0;0;0;0;0
Ocotea floribunda;0;0;0;3;0;1;0;0;0;1;0;0;0;0;0
Inga edulis;0;1;1;0;2;0;0;0;0;0;0;0;0;0;0
Miconia prasina;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0
Musa acuminata;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0
Phytolacca rivinoides;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Tournefortia hirsutissima;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Casearia sylvestris;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Citrus sinensis;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Coffea arabica;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Miconia affinis;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Momordica charantia;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Murraya paniculata;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Piper amalago;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Roystonea borinquena;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Solanum rugosum;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
