"";"Patagioenas picazuro";"Patagioenas cayennensis";"Orthopsittaca manilatus";"Eupsittula aurea";"Amazona aestiva";"Melanerpes candidus";"Formicivora rufa";"Pitangus sulphuratus";"Megarynchus pitangua";"Tyrannus albogularis";"Tyrannus melancholicus";"Tyrannus savana";"Knipolegus lophotes";"Cyclarhis gujanensis";"Cyanocorax cristatellus";"Mimus saturninus";"Turdus leucomelas";"Turdus amaurochalinus";"Saltator similis";"Tangara sayaca";"Tangara palmarum";"Tangara cayana";"Neothraupis fasciata";"Schistochlamys ruficapillus";"Tersina viridis";"Icterus pyrrhopterus";"Gnorimopsar chopi";"Euphonia chlorotica"
"Blepharocalyx salicifolius";0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;1;3;1;0;0;0;0;0
"Byrsonima intermedia";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;4;0;0;1;0;0
"Cabralea canjerana";0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Caryocar brasiliense";0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"Coccoloba_GBIFresolved_net_042";0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0
"Copaifera langsdorffii";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0
"Eugenia calycina";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0
"Eugenia punicifolia";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"Ilex affinis";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;0;0;0;0;0;1;0;0;0;0
"Mauritia flexuosa";0;0;4;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0
"Miconia albicans";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"Miconia fallax";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0
"Miconia theaezans";0;0;0;0;0;0;0;1;0;0;2;0;2;0;0;1;2;0;1;1;4;2;1;2;2;0;0;1
"Myrcia guianensis";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"Myrcia variabilis";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0
"Ouratea spectabilis";1;0;0;1;0;0;0;0;0;1;2;1;0;0;0;2;0;0;0;0;0;0;2;0;0;0;1;0
"Smilax brasiliensis";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0
"Styrax ferrugineus";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
