"";"Tangara sayaca";"Turdus nigriceps";"Turdus rufiventris";"Atlapetes citrinellus";"Chlorospingus ophthalmicus";"Cyanocorax chrysops";"Elaenia obscura";"Elaenia albiceps";"Vireo olivaceus";"Zonotrichia capensis";"Microspingus erythrophrys";"Elaenia parvirostris";"Pipraeidea melanonota";"Penelope obscura";"Patagioenas fasciata";"Troglodytes solstitialis";"Catharus swainsoni";"Turdus amaurochalinus";"Spinus magellanicus";"Troglodytes aedon";"Piranga flava"
"Myrsine coriacea";34;19;12;15;12;0;12;6;5;2;2;3;1;2;0;1;0;1;0;0;0
"Allophylus edulis";33;30;12;4;5;7;1;0;2;0;3;0;1;1;0;0;1;1;0;0;1
"Myrcianthes pseudomato";15;18;5;1;2;13;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0
"Rubus ulmifolius";3;8;4;10;1;0;5;0;1;1;1;0;0;0;0;0;0;0;0;0;0
"Amomyrtella guili";14;10;0;0;1;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0
"Cestrum parqui";9;0;1;4;1;1;2;0;1;2;0;1;0;0;0;0;0;0;0;0;0
"Sambucus nigra";2;1;2;2;1;0;1;4;0;2;0;1;0;0;4;0;0;0;0;0;0
"Ocotea porphyria";7;5;7;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Cestrum strigillatum";3;0;4;2;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;1;0
"Cupania vernalis";1;3;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Myrcianthes mato";4;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"Potentilla indica";0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Solanum aligerum";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"Muehlenbeckia tamnifolia";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Solanum aloysiifolium";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Styrax subargenteus";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Rhipsalis floccosa";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Blepharocalyx salicifolius";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
