;Spindalis portoricensis;Euphonia musica;Pyrrhulagra portoricensis;Vireo altiloquus;Melanerpes portoricensis;Patagioenas squamosa;Margarops fuscatus;Tyrannus dominicensis;Zenaida asiatica;Coereba flaveola;Setophaga tigrina;Vireo flavifrons;Setophaga caerulescens;Icterus dominicensis;Myiarchus antillarum;Todus mexicanus;Tyrannus caudifasciatus;Vireo latimeri
Didymopanax morototoni;56;1;1;3;0;5;1;4;0;1;1;0;0;0;0;0;1;0
Cecropia schreberiana;29;0;6;4;3;0;1;0;0;2;3;0;1;0;0;0;0;0
Guarea guidonia;0;0;17;14;0;0;1;0;0;0;0;1;0;0;0;0;0;0
Cordia sulcata;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Alchornea latifolia;3;0;14;3;0;0;0;0;5;0;0;0;0;0;0;1;0;1
Clusia rosea;0;0;0;11;3;0;0;1;0;0;0;0;0;1;1;0;0;0
Anthurium obtusum;1;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Miconia affinis;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Inga edulis;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Musa acuminata;1;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Inga laurina;4;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Dendropemon bicolor;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Myrsine coriacea;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Syzygium jambos;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Andira inermis;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Coffea arabica;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Miconia ciliata;6;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Palicourea guianensis;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Terminalia tetraphylla;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Casearia arborea;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Citrus sinensis;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Dendropanax arboreus;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Henriettea fascicularis;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Momordica charantia;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Palicourea crocea;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Solanum rugosum;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Zanthoxylum martinicense;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
