"";"Psarocolius decumanus";"Psarocolius wagleri";"Pachyramphus cinnamomeus";"Manacus manacus";"Amazona farinosa";"Pteroglossus torquatus";"Tangara episcopus";"Tangara palmarum";"Melanerpes rubricapillus";"Tyrannus melancholicus";"Brotogeris jugularis";"Euphonia laniirostris";"Coereba flaveola";"Turdus grayi";"Myiozetetes cayanensis";"Ramphocelus dimidiatus";"Saltator maximus";"Psarocolius guatimozinus";"Ara militaris";"Tangara inornata";"Icterus galbula";"Icterus spurius";"Vireo olivaceus";"Piranga rubra";"Catharus ustulatus";"Ramphastos ambiguus";"Piranga olivacea";"Cyanocorax affinis";"Myiodynastes luteiventris";"Ortalis cinereiceps";"Ara severus";"Icterus auricapillus";"Tyrannus tyrannus";"Catharus minimus";"Leiothlypis peregrina";"Dacnis cayana";"Cacicus cela";"Pitangus sulphuratus";"Saltator coerulescens";"Setophaga castanea";"Elaenia flavogaster";"Forpus conspicillatus";"Tangara larvata";"Amazona ochrocephala";"Myiarchus crinitus"
"Castilla tunu";8;5;1;2;3;0;7;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Cecropia obtusifolia";14;14;1;0;0;4;40;13;5;7;9;35;2;1;3;8;2;0;0;4;9;8;0;4;2;1;5;1;2;0;0;1;1;0;6;0;0;0;0;1;0;0;2;0;0
"Cecropia longipes";29;24;0;0;0;0;11;12;0;3;0;2;1;2;3;5;1;0;0;0;4;2;0;10;1;0;5;3;0;2;2;1;0;0;0;0;1;1;1;0;0;1;0;0;0
"Cecropia membranacea";1;0;0;0;0;2;0;0;0;0;0;5;0;0;0;2;0;0;0;2;0;0;0;4;0;0;4;0;0;0;0;1;0;0;0;4;0;0;0;0;0;0;0;0;0
"Caryocar amygdaliferum";0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Ficus insipida";4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Ficus pallida";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Guazuma ulmifolia";0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Pentaclethra macroloba";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Anacardium excelsum";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
