;Cacicus haemorrhous;Celeus flavescens;Coryphospingus pileatus;Cyanerpes cyaneus;Elaenia albiceps;Elaenia chiriquensis;Elaenia cristata;Elaenia flavogaster;Euphonia chlorotica;Leptotila rufaxilla;Mimus gilvus;Mimus saturninus;Nemosia pileata;Pitangus sulphuratus;Turdus flavipes;Ramphocelus bresilius;Schistochlamys ruficapillus;Tachyphonus coronatus;Tangara peruviana;Tangara sayaca;Tolmomyias sulphurescens;Turdus albicollis;Turdus amaurochalinus;Tyrannus melancholicus;Volatinia jacarina;Zonotrichia capensis
Aechmea nudicaulis;0;0;0;0;0;0;0;0;3;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Alchornea triplinervia;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Anthurium maricense;0;0;0;0;0;0;0;1;2;0;1;0;0;0;1;1;0;2;2;0;0;0;2;0;0;0
Byrsonima sericea;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cassytha filiformis;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0
Cereus fernambucensis;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
Chiococca alba;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Clusia hilariana;0;0;1;3;1;4;1;0;0;0;6;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1
Coccoloba arborescens;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Coccoloba declinata;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Erythroxylum ovalifolium;0;1;1;0;0;6;0;1;0;0;7;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Erythroxylum subsessile;0;0;0;0;0;3;0;3;0;0;6;0;0;0;1;0;0;0;1;0;0;0;3;0;0;0
Eugenia umbelliflora;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Gaylussacia brasiliensis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
Guapira olfersiana;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
Heisteria perianthomega;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Humiria balsamifera;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;5;0;0;1
Monteverdia obtusifolia;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
Miconia cinnamomifolia;1;0;0;0;0;0;1;5;4;0;2;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0
Myrsine rubra;0;0;0;0;0;0;0;0;0;0;1;0;0;0;3;0;0;0;0;0;0;0;4;0;0;0
Myrsine parvifolia;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;2;0;0;0;6;0;0;0
Chytraculia brasiliensis;0;0;0;0;0;1;0;6;0;0;0;1;0;0;1;1;0;0;8;0;0;0;1;0;0;0
Schwartzia brasiliensis;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ocotea notata;0;0;0;1;0;0;0;11;0;0;9;0;1;0;0;0;0;0;4;1;1;1;17;0;0;0
Paullinia weinmanniifolia;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Phoradendron crassifolium;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pilosocereus arrabidae;1;0;9;0;0;0;0;0;8;0;13;0;0;0;0;0;0;0;0;2;0;0;1;1;1;18
Protium icicariba;0;0;1;2;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Smilax rufescens;0;0;0;0;0;0;0;1;0;0;1;0;0;0;5;0;0;0;1;0;0;0;2;0;0;0
Tapirira guianensis;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Ternstroemia brasiliensis;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Xylopia ochrantha;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
