;Chiroxiphia caudata;Coereba flaveola;Cyclarhis gujanensis;Dacnis cayana;Elaenia flavogaster;Euphonia pectoralis;Leptotila verreauxi;Megarynchus pitangua;Myiarchus ferox;Myiodynastes maculatus;Myiozetetes similis;Setophaga pitiayumi;Picumnus cirratus;Pitangus sulphuratus;Turdus flavipes;Ramphocelus bresilius;Saltator similis;Tachyphonus coronatus;Tangara cayana;Tangara cyanocephala;Tangara palmarum;Tangara sayaca;Trichothraupis melanops;Turdus albicollis;Turdus amaurochalinus;Turdus leucomelas;Turdus rufiventris;Tyrannus melancholicus;Vireo olivaceus;Zonotrichia capensis
Aegiphila integrifolia;1;1;0;1;1;0;1;0;3;1;2;0;1;0;0;2;2;1;0;0;1;3;0;1;1;1;2;0;1;0
Clusia criuva;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;1;1;0
Citharexylum myrianthum;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;1;0;1;0;1;0;2;1;0
Euterpe oleracea;0;0;0;0;1;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0
Guapira_GBIFresolved_net_015;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;2;1;0;1;0;0;0;3;0;0;1;0;0;0;0
Livistona chinensis;0;2;2;0;0;0;0;2;0;0;0;1;0;2;4;5;5;1;2;0;3;4;0;4;2;3;4;0;0;1
Miconia albicans;0;0;0;2;0;0;0;0;0;0;1;0;0;0;1;3;1;2;0;3;1;1;1;2;1;0;0;0;0;0
Miconia cinnamomifolia;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Myrcia splendens;0;1;0;1;1;0;0;0;0;0;0;0;0;2;0;2;1;1;0;1;2;1;0;1;0;1;2;1;0;0
Marlierea ferruginea;0;1;0;4;0;0;0;0;1;0;0;0;0;0;0;3;3;3;0;6;0;2;0;2;0;0;2;0;4;0
Myrsine gardneriana;2;0;0;1;0;1;0;0;0;1;1;0;0;0;3;3;2;2;0;2;0;1;0;3;2;1;1;0;0;0
Schinus terebinthifolius;0;1;0;1;2;0;0;0;1;0;1;0;0;0;0;2;1;1;0;1;1;1;0;1;1;0;1;0;0;0
