;Fringilla coelebs;Sylvia atricapilla;Turdus merula;Pyrrhula murina;Erithacus rubecula
Bellis perennis;1;0;0;0;0
Potentilla indica;0;1;0;0;0
Hedera azorica;0;2;0;0;0
Hypericum himalaicum;0;0;0;3;0
Ilex azorica;0;0;5;0;0
Juniperus brevifolia;0;0;5;0;0
Laurus azorica;0;0;2;0;0
Leontodon rigens;0;0;0;2;0
Leycesteria formosa;0;1;0;1;1
Luzula azorica;0;0;0;1;0
Myrsine retusa;0;1;0;0;0
Persicaria capitata;0;0;0;3;0
Pittosporum undulatum;0;1;0;0;0
Potentilla erecta;1;0;0;1;0
Prunella vulgaris;0;0;0;2;0
Solanum americanum;2;0;0;0;0
Sonchus tenerrimus;0;0;0;1;0
Vaccinium cylindraceum;0;0;5;1;1
Viburnum tinus;0;0;1;0;0
