"";"Anisognathus somptuosus";"Psittacara leucophthalmus";"Aulacorhynchus derbianus";"Catharus ustulatus";"Cephalopterus ornatus";"Chiroxiphia boliviana";"Chlorochrysa calliparaea";"Chlorophonia cyanea";"Chlorospingus flavigularis";"Chlorospingus ophthalmicus";"Chlorospingus parvirostris";"Colaptes rubiginosus";"Cyanerpes caeruleus";"Cyanocorax yncas";"Dacnis cayana";"Diglossa caerulescens";"Diglossa cyanea";"Diglossa glauca";"Elaenia albiceps";"Elaenia pallatangae";"Entomodestes leucotis";"Eubucco versicolor";"Euphonia mesochrysa";"Euphonia xanthogaster";"Iridophanes pulcherrimus";"Iridosornis analis";"Lepidothrix coeruleocapilla";"Lophotriccus pileatus";"Mionectes striaticollis";"Myadestes ralloides";"Ortalis guttata";"Patagioenas plumbea";"Penelope montagnii";"Pharomachrus antisianus";"Pharomachrus auriceps";"Pipreola intermedia";"Piranga rubra";"Psarocolius angustifrons";"Psarocolius atrovirens";"Ramphocelus carbo";"Rupicola peruvianus";"Saltator maximus";"Tangara arthus";"Tangara chilensis";"Tangara chrysotis";"Tangara cyanicollis";"Tangara gyrola";"Tangara nigroviridis";"Tangara punctata";"Tangara ruficervix";"Tangara vassorii";"Tangara xanthocephala";"Thraupis bonariensis";"Sporathraupis cyanocephala";"Tangara episcopus";"Tangara palmarum";"Trichothraupis melanops";"Turdus chiguanco";"Chloropipo unicolor";"Zimmerius bolivianus"
"Anthurium obtusum";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Banara arguta";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Brunellia stenoptera";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
"Casearia arborea";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Cecropia polystachya";0;0;0;5;0;0;6;2;2;5;0;1;0;0;0;0;0;0;0;0;1;3;0;6;0;2;0;0;0;0;0;25;0;0;0;0;0;27;1;39;4;1;15;7;3;15;1;3;0;0;0;0;0;0;5;1;0;0;0;0
"Cecropia strigosa";2;0;0;0;0;0;13;8;2;3;7;0;0;0;2;0;0;0;0;0;0;5;1;12;0;0;0;0;0;0;0;30;0;3;1;0;0;1;1;16;3;0;17;22;0;12;5;1;2;0;0;6;0;0;2;4;0;0;0;0
"Cestrum parqui";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;4;0;0;0;0;0;0;0
"Cestrum bracteatum";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"Coussarea_net_177";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Croton rusbyi";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
