;Pyrrhulagra portoricensis;Spindalis portoricensis;Vireo altiloquus;Turdus plumbeus;Patagioenas squamosa;Coereba flaveola;Tyrannus dominicensis;Euphonia musica;Margarops fuscatus;Icterus dominicensis;Zenaida aurita;Molothrus bonariensis;Melanospiza bicolor;Todus mexicanus
Guarea guidonia;34;0;6;0;0;0;2;0;1;0;0;0;0;0
Cecropia schreberiana;10;12;1;3;1;7;0;1;2;0;0;0;1;1
Didymopanax morototoni;0;14;1;10;3;0;0;0;0;0;0;0;0;0
Miconia prasina;7;15;0;0;0;2;0;0;1;0;0;0;0;0
Cupania americana;7;0;3;1;0;2;6;0;0;1;0;1;0;0
Alchornea latifolia;5;0;1;0;0;0;0;0;0;0;2;0;0;0
Byrsonima crassifolia;1;1;2;0;3;0;0;0;0;0;0;0;0;0
Clusia rosea;0;0;7;0;0;0;0;0;0;0;0;0;0;0
Henriettea fascicularis;4;1;0;1;0;0;0;0;0;1;0;0;0;0
Casearia arborea;2;0;1;0;1;0;1;0;0;0;0;0;0;0
Ocotea leucoxylon;0;0;0;0;5;0;0;0;0;0;0;0;0;0
Miconia affinis;4;0;0;0;0;0;0;0;0;0;0;0;0;0
Psychotria berteroana;1;3;0;0;0;0;0;0;0;0;0;0;0;0
Inga edulis;1;2;0;0;0;0;0;0;0;0;0;0;0;0
Myrsine coriacea;0;1;1;0;0;0;0;0;0;0;0;0;0;0
Anthurium obtusum;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Dendropanax arboreus;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Inga laurina;0;0;0;0;0;0;0;0;0;1;0;0;0;0
Miconia ciliata;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Tournefortia hirsutissima;0;1;0;0;0;0;0;0;0;0;0;0;0;0
