;Aburria aburri;Anisognathus somptuosus;Aulacorhynchus haematopygus;Aulacorhynchus prasinus;Catharus ustulatus;Chamaepetes goudotii;Chlorochrysa nitidissima;Chlorophonia cyanea;Chlorospingus canigularis;Chlorospingus ophthalmicus;Cranioleuca erythrops;Setophaga fusca;Diglossa caerulescens;Diglossa cyanea;Eubucco bourcierii;Euphonia xanthogaster;Masius chrysopterus;Mionectes striaticollis;Momotus aequatorialis;Myadestes ralloides;Pachyramphus polychopterus;Patagioenas cayennensis;Penelope perspicax;Pharomachrus auriceps;Pheucticus ludovicianus;Phyllomyias plumbeiceps;Pipraeidea melanonota;Piranga flava;Piranga leucoptera;Piranga rubra;Pogonotriccus ophthalmicus;Pyroderus scutatus;Rupicola peruvianus;Tangara arthus;Tangara heinei;Tangara labradorides;Tangara nigroviridis;Tangara vitriolina;Tangara xanthocephala;Trogon collaris;Trogon personatus;Turdus ignobilis;Turdus serranus;Vireo leucophrys;Zimmerius viridiflavus
Alchornea triplinervia;1;3;4;11;7;0;1;0;18;0;1;6;0;0;1;0;1;0;0;0;0;3;27;0;1;0;0;3;7;4;0;2;2;4;8;6;0;0;1;7;0;0;8;2;0
Cecropia telealba;0;33;2;7;0;0;0;2;0;0;0;0;0;0;1;8;0;0;0;0;0;0;31;0;0;0;0;0;2;0;0;10;0;5;1;5;0;1;1;0;0;0;0;0;0
Ceroxylon alpinum;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Chrysochlamys colombiana;0;0;0;0;0;0;0;0;2;2;0;0;1;0;0;0;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;1;0
Clarisia biflora;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cobaea trianae ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Cuatresia riparia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Dendropanax macrophyllus;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Geonoma undata;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0
Hieronyma scabra;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Miconia acuminifera;0;0;2;0;2;0;1;0;4;2;0;0;0;0;0;0;0;0;2;3;0;0;7;0;0;1;0;0;0;0;0;16;2;0;6;2;0;0;0;0;0;0;2;0;0
Miconia caudata;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;3;2;2;0;0;0;0;0;0;0;0;0
Miconia micropetala;0;9;0;0;3;1;0;2;1;0;0;6;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;6;0;0;0;0;0;0;0;0;0
Nectandra lineatifolia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
Oreopanax floribundus;0;0;1;29;5;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;27;0;0;0;0;0;0;0;0;2;2;2;2;0;0;0;0;0;0;1;3;0;0
Palicourea acetosoides;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Palicourea angustifolia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0
Palicourea ovalis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0
Santalum_GBIFresolved_net_178;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
Smilax spinosa;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Tovomita guianensis;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
