"";"Tangara sayaca";"Chlorospingus ophthalmicus";"Catharus swainsoni";"Turdus nigriceps";"Turdus rufiventris";"Elaenia obscura";"Elaenia strepera";"Thlypopsis sordida";"Euphonia cyanocephala";"Pipraeidea melanonota";"Turdus serranus";"Myiodynastes maculatus";"Saltator coerulescens";"Cyclarhis gujanensis";"Saltator aurantiirostris"
"Blepharocalyx salicifolius";52;7;14;8;4;1;1;0;0;2;0;0;0;0;0
"Phoradendron ensifolium";13;20;1;0;0;0;0;3;8;1;0;0;0;0;1
"Lithraea molleoides";18;1;15;0;0;5;1;4;0;0;0;1;0;0;0
"Ocotea macropoda";5;3;3;4;12;1;2;1;0;0;0;0;0;0;0
"Solanum riparium";22;2;0;0;0;1;0;0;0;0;0;0;0;0;0
"Cupania vernalis";0;4;1;7;2;0;0;0;0;2;0;1;0;1;0
"Myrcianthes pseudomato";7;4;0;0;0;3;3;0;0;1;0;0;0;0;0
"Ocotea porphyria";13;0;0;0;0;0;1;0;0;0;3;0;1;0;0
"Cissus striata";1;3;10;0;1;1;0;0;0;0;0;0;0;0;0
"Myrsine coriacea";3;3;1;0;0;1;1;0;0;1;0;0;0;0;0
"Fuchsia boliviana";0;3;0;0;0;0;2;1;0;0;0;0;0;0;0
"Rhipsalis floccosa";0;6;0;0;0;0;0;0;0;0;0;0;0;0;0
"Rubus imperialis";0;4;1;0;0;0;0;0;0;0;0;0;0;0;0
"Morus insignis";2;0;1;1;0;0;0;0;0;0;0;0;0;0;0
"Vassobia breviflora";0;1;0;1;0;0;0;1;0;0;0;0;0;0;0
"Allophylus edulis";0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
"Piper aduncum";2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Miconia molybdea";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"Solanum americanum";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"Schinus gracilipes";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
