"";"Cyclopsitta diophthalma";"Cacatua galerita";"Eudynamys orientalis";"Coracina lineata";"Aplonis metallica";"Sphecotheres vieilloti";"Ailuroedus crassirostris"
"Calamus sp";0;0;0;2;10;0;0
"Piper_GBIFresolved_net_123";0;0;1;0;0;8;1
"Ficus destruens";8;0;2;15;0;0;0
"Ficus leptoclada";1;0;0;0;18;19;0
"Ficus virens";0;0;0;7;11;0;1
"Carnarvonia araliifolia";0;9;0;0;0;0;0
"Notothixos subaureus";0;0;0;0;38;0;0
"Cananga odorata";0;0;0;0;0;61;0
"Myristica globosa";0;0;4;0;16;0;0
"Endiandra hypotephra";0;0;10;0;0;0;0
"Litsea leefeana";0;0;1;0;54;10;0
"Melicope bonwickii";0;9;0;0;0;0;0
"Dysoxylum micranthum";0;0;0;0;10;7;0
"Alliaria oppositifolia";0;0;0;0;50;20;0
"Melia azedarach";0;0;0;0;0;16;0
"Alphitonia whitei";12;0;0;5;6;0;0
"Cissus sterculifolia";0;0;0;0;28;18;1
"Elaeocarpus grandis";0;0;0;0;0;110;2
"Elaeocarpus largiflorens";0;0;0;0;0;11;0
"Terminalia sericocarpa";0;0;0;0;10;0;0
"Syzygium luehmannii";0;0;0;8;23;0;0
"Polyscias australiana";0;0;0;0;60;0;1
"Polyscias elegans";0;0;0;0;0;120;4
"Polyscias murrayi";0;6;0;0;21;13;4
"Chionanthus ramiflorus";0;0;2;0;0;8;0
