;Eudynamys scolopaceus;Acridotheres tristis;Sturnia pagodarum;Sturnia malabarica;Pastor roseus;Dendrocitta vagabunda;Corvus splendens;Corvus macrorhynchos;Pycnonotus luteolus;Pycnonotus cafer;Turdoides striata
Azadirachta indica;0;0;0;0;0;0;0;0;884;4;0
Cansjera rheedei;13;1;0;0;0;0;0;0;41;29;0
Psydrax dicoccos;10;29;0;0;0;2;0;0;62;62;2
Cissus vitiginea;0;0;3;0;0;0;0;0;48;18;1
Varronia curassavica;0;0;0;0;0;0;0;0;203;23;2
Diospyros ferrea;3;0;0;0;0;0;0;0;31;2;0
Drypetes sepiaria;4;16;0;0;0;0;0;0;67;49;0
Ehretia acuminata;2;12;5;0;0;0;0;2;137;82;0
Ficus benghalensis;14;105;0;0;0;5;110;206;17;17;2
Ficus religiosa;11;163;0;0;0;5;32;63;142;95;16
Ficus virens;10;34;0;0;0;5;44;54;59;265;5
Glycosmis pentaphylla;0;4;0;0;0;0;0;0;75;8;0
Ixora pavetta;11;2;0;0;0;0;0;0;112;59;0
Manilkara hexandra;20;53;23;13;0;0;40;8;92;7;0
Olax scandens;11;24;0;0;0;0;0;0;79;11;9
Phyllanthus reticulatus;12;0;0;0;0;0;0;0;19;41;0
Salvadora persica;3;81;0;0;0;0;39;40;77;99;0
Flueggea leucopyrus;1;49;114;0;0;0;0;0;24;29;4
Solanum trilobatum;0;3;0;0;0;0;0;0;28;41;0
Tinospora cordifolia;15;19;2;0;3;0;7;2;57;35;0
Toddalia asiatica;6;3;16;0;4;0;0;0;61;57;0
Ziziphus oenopolia;2;82;111;90;0;0;0;0;55;51;0
