;Pycnonotus jocosus;Pycnonotus luteolus;Pycnonotus cafer;Eudynamys scolopaceus;Psittacula krameri;Psilopogon haemacephalus;Acridotheres tristis;Corvus macrorhynchos
Ficus amplissima;128;131;53;21;0;46;9;10
Lannea coromandelica;189;48;39;0;0;0;567;48
Walsura trifoliolata;88;49;24;4;0;0;2;0
Salvadora persica;751;219;33;7;0;0;44;79
Cordia dichotoma;279;222;45;6;0;0;0;0
Ficus microcarpa;23;7;2;3;0;18;2;0
Hugonia mystax;4;0;0;0;0;0;31;9
Scutia myrtina;71;12;9;0;0;0;0;0
Myrcia bracteata;17;15;0;27;2;0;0;0
Lepisanthes tetraphylla;174;84;15;6;0;0;0;0
Diospyros ferrea;22;12;7;2;1;0;0;0
Azadirachta indica;64;30;10;2;0;0;8;18
Alangium salviifolium;0;0;0;0;5;0;0;0
Flueggea leucopyrus;62;14;6;0;0;0;24;0
Salacia chinensis;37;10;0;0;0;0;0;0
Ehretia laevis;0;6;0;7;0;0;0;0
Syzygium cumini;4;1;0;0;0;0;0;0
Ochna obtusata;6;1;0;1;0;0;0;0
Memecylon umbellatum;1;0;0;0;0;0;0;0
