"";"Mimus polyglottos";"Tyrannus dominicensis";"Spindalis portoricensis";"Margarops fuscatus";"Pyrrhulagra portoricensis";"Myiarchus antillarum";"Turdus plumbeus";"Melanerpes portoricensis";"Quiscalus niger";"Patagioenas squamosa";"Icterus icterus"
"Clusia rosea";100;86;0;3;1;0;4;4;3;0;0
"Tournefortia hirsutissima";18;140;0;1;0;0;0;0;0;0;0
"Cestrum diurnum";33;59;9;11;0;0;0;0;1;1;2
"Dendropemon caribaeus";17;14;0;0;1;0;0;0;1;0;0
"Trichilia hirta";7;18;0;0;0;0;0;0;0;0;0
"Solanum torvum";0;1;14;3;0;0;0;0;0;1;0
"Pithecellobium dulce";3;3;1;1;1;0;1;1;1;0;1
"Cordia polycephala";0;9;0;0;2;0;0;0;0;0;0
"Bursera simaruba";4;4;0;1;1;1;0;0;0;0;0
"Cissus tinctoria";3;2;0;5;0;0;0;0;0;0;0
"Krugiodendron ferreum";1;0;2;0;4;0;0;0;0;0;0
"Roystonea borinquena";2;1;1;1;0;0;0;0;0;1;0
"Sideroxylon salicifolium";1;1;0;0;0;0;0;0;0;3;0
"Cayaponia americana";0;0;0;0;0;4;0;0;0;0;0
"Phoradendron anceps";0;0;4;0;0;0;0;0;0;0;0
"Guapira fragrans";1;1;0;1;0;0;0;0;1;0;0
"Trema micrantha";3;0;0;0;0;0;0;0;0;1;0
"Zanthoxylum martinicense";2;1;0;0;0;0;0;0;0;1;0
"Casearia guianensis";1;0;0;0;2;0;0;0;0;0;0
"Coccoloba diversifolia";1;0;0;0;0;0;0;0;1;1;0
"Comocladia glabra";1;1;0;1;0;0;0;0;0;0;0
"Petitia domingensis";0;0;0;3;0;0;0;0;0;0;0
"Chiococca alba";0;0;2;0;0;0;0;0;0;0;0
"Bourreria virgata";0;1;0;0;0;0;0;0;0;0;0
