"";"Tachyphonus coronatus";"Chiroxiphia caudata";"Trichothraupis melanops";"Vireo olivaceus";"Manacus manacus";"Saltator similis";"Dacnis cayana";"Elaenia flavogaster";"Pitangus sulphuratus";"Tangara sayaca";"Myiodynastes maculatus";"Habia rubica";"Turdus rufiventris";"Ramphocelus carbo";"Tyrannus melancholicus";"Thlypopsis sordida";"Myiophobus fasciatus";"Tangara cayana";"Coereba flaveola";"Cyclarhis gujanensis";"Penelope superciliaris";"Ramphastos toco";"Turdus amaurochalinus";"Tyrannus savana";"Conirostrum speciosum";"Cyanocorax cristatellus";"Pipraeidea melanonota";"Sirystes sibilator"
"Trema micrantha";10;5;12;7;5;12;6;2;0;3;1;1;0;1;1;2;0;2;0;0;0;0;0;2;0;0;0;0
"Cecropia pachystachya";16;1;2;0;2;0;3;1;1;5;0;0;1;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0
"Urera baccifera";12;0;7;0;4;0;0;0;0;0;0;6;0;2;0;0;0;0;1;0;0;0;0;0;0;0;1;0
"Chamissoa altissima";5;2;11;0;2;2;1;2;0;1;0;1;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0
"Cabralea canjerana";0;1;0;8;0;0;3;0;6;0;4;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
"Dendropanax cuneatus";0;2;0;4;5;8;0;0;0;0;0;0;1;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0
"Pera glabrata";7;1;1;3;2;2;3;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
"Trichilia claussenii";3;1;2;7;0;2;0;0;0;0;0;1;0;0;0;3;0;0;0;3;0;0;0;0;0;0;0;0
"Citharexylum myrianthum";0;6;0;0;1;1;0;0;0;0;4;0;8;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Zanthoxylum fagara";0;0;0;9;0;0;5;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0
"Talauma ovata";0;0;0;0;1;0;2;6;3;0;0;0;0;2;1;0;0;0;0;0;0;0;1;0;0;0;0;0
"Gomidesia affinis";1;6;0;0;1;0;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Ocotea macropoda";0;4;1;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"Ocotea bicolor";0;0;1;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0
"Miconia discolor";0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Momordica charantia";1;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Miconia elegans";0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Pereskia aculeata";1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Persea major";0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
"Protium heptaphyllum";0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Copaifera langsdorffii";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0
"Monteverdia ilicifolia";0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Xylopia brasiliensis";0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"Maclura tinctoria";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Ficus enormis";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Paullinia rhomboidea";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
