"";"Camptostoma obsoletum";"Conirostrum speciosum";"Coryphospingus cucullatus";"Cyanocorax cristatellus";"Dacnis cayana";"Elaenia flavogaster";"Elaenia obscura";"Mimus saturninus";"Molothrus bonariensis";"Myiarchus ferox";"Myiodynastes maculatus";"Myiophobus fasciatus";"Nemosia pileata";"Patagioenas picazuro";"Pitangus sulphuratus";"Ramphastos toco";"Ramphocelus carbo";"Schistochlamys ruficapillus";"Tachyphonus coronatus";"Tangara cayana";"Tangara palmarum";"Tangara sayaca";"Turdus amaurochalinus";"Turdus leucomelas";"Tyrannus melancholicus";"Tyrannus savana";"Vireo olivaceus";"Volatinia jacarina"
"Miconia albicans";6;5;11;1;2;1;6;3;1;1;1;1;4;0;38;0;17;10;1;22;1;35;12;29;3;3;0;8
"Didymopanax vinosus";1;0;3;2;0;4;15;0;0;1;0;1;1;1;33;2;2;3;0;1;0;17;13;19;0;4;1;2
"Myrcia tomentosa";0;2;0;0;0;1;5;6;0;0;0;0;0;0;19;0;1;3;0;9;0;20;2;4;2;0;0;0
"Myrcia lingua";0;0;0;0;0;0;2;2;0;1;0;0;0;0;17;4;0;2;0;13;0;17;0;9;0;0;0;0
"Blepharocalyx salicifolius";0;0;0;0;0;0;6;0;0;0;0;0;0;1;19;2;0;5;0;0;0;39;12;58;0;0;0;0
"Erythroxylum suberosum";0;0;0;0;0;0;0;2;0;1;1;0;0;1;10;0;0;0;0;0;0;2;0;0;0;0;0;0
"Erythroxylum campestre";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"Cordiera concolor";0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0
"Byrsonima intermedia";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;5;0;0;0
"Cecropia hololeuca";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"Lantana camara";1;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;4;0;0;0;0;0;0;0;1;0;0
"Lantana_GBIFresolved_net_103";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Ocotea pulchella";0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0
"Ouratea spectabilis";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"Tocoyena formosa";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"Eugenia bimarginata";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
