"";"Hypsipetes amaurotis";"Turdus pallidus";"Treron formosae";"Zosterops japonicus";"Columba janthina";"Turdus chrysolaus";"Ficedula narcissina";"Zoothera dauma"
"Symplocos sumuntia";2;1;2;1;0;1;1;0
"Adinandra japonica";1;2;1;1;1;0;0;1
"Eurya japonica";2;1;2;2;0;0;0;0
"Schefflera heptaphylla";2;2;0;1;2;0;0;0
"Myrsine seguinii";2;2;0;2;0;0;0;0
"Daphniphyllum glaucescens";2;0;0;0;1;2;0;0
"Myrica rubra";1;0;2;0;1;0;0;0
"Ardisia sieboldii";1;2;0;0;0;0;0;0
"Actinodaphne acuminata";3;0;0;0;0;0;0;0
"Vaccinium bracteatum";0;3;0;0;0;0;0;0
"Neolitsea aciculata";2;0;0;0;0;0;0;0
"Machilus thunbergii";2;0;0;0;0;0;0;0
"Diospyros morrisiana";0;0;1;0;0;0;0;0
"Cerasus jamasakura";1;0;0;0;0;0;0;0
"Taxillus yadoriki";1;0;0;0;0;0;0;0
