"";"Fringilla coelebs";"Sylvia atricapilla";"Turdus merula";"Erithacus rubecula";"Serinus canaria";"Carduelis carduelis"
"Acacia melanoxylon";1;0;0;0;0;0
"Cerastium_net_080";1;0;0;0;0;0
"Conyza bonariensis";0;0;0;0;1;0
"Potentilla indica";0;3;8;1;0;0
"Fragaria vesca";0;1;2;0;0;0
"Holcus lanatus";0;0;0;0;1;0
"Juncus effusus";0;1;0;0;0;0
"Leycesteria formosa";11;11;6;4;0;0
"Myrica faya";0;1;0;0;0;0
"Pittosporum undulatum";1;0;0;0;0;0
"Potentilla erecta";1;0;1;0;0;0
"Rubus ulmifolius";0;1;1;0;0;0
"Solanum americanum";1;0;0;0;0;0
"Sonchus tenerrimus";0;0;0;0;0;1
"Vaccinium cylindraceum";0;3;0;1;0;0
