"";"Leptotila rufaxilla";"Patagioenas cayennensis";"Patagioenas picazuro";"Penelope superciliaris";"Cyanocorax chrysops";"Cyanocorax cristatellus";"Arremon flavirostris";"Euphonia chlorotica";"Icterus pyrrhopterus";"Molothrus bonariensis";"Mimus saturninus";"Setophaga pitiayumi";"Antilophia galeata";"Thamnophilus doliatus";"Thamnophilus punctatus";"Coereba flaveola";"Conirostrum speciosum";"Dacnis cayana";"Nemosia pileata";"Pipraeidea melanonota";"Saltator similis";"Tangara cayana";"Tersina viridis";"Tangara sayaca";"Pachyramphus validus";"Tityra cayana";"Turdus amaurochalinus";"Turdus leucomelas";"Camptostoma obsoletum";"Casiornis rufus";"Elaenia flavogaster";"Elaenia mesoleuca";"Empidonomus varius";"Lathrotriccus euleri";"Megarynchus pitangua";"Myiarchus ferox";"Myiarchus tyrannulus";"Myiodynastes maculatus";"Myiozetetes similis";"Pitangus sulphuratus";"Serpophaga subcristata";"Tyrannus melancholicus";"Cyclarhis gujanensis";"Vireo olivaceus";"Celeus flavescens";"Melanerpes candidus";"Eupsittula aurea";"Psittacara leucophthalmus";"Brotogeris chiriri"
"Tapirira guianensis";0;0;0;3;4;0;0;0;0;3;0;2;0;0;0;1;1;23;2;0;0;28;0;90;4;0;0;5;0;0;0;0;5;0;2;0;0;3;3;0;0;13;0;1;0;0;0;0;0
"Duguetia lanceolata";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Xylopia aromatica";0;0;2;1;2;0;0;0;6;0;7;0;0;0;0;1;6;6;4;0;1;7;0;5;2;0;1;2;3;0;1;0;0;0;0;0;1;0;2;2;2;2;1;1;0;3;1;0;4
"Tabernaemontana hystrix";1;0;0;0;0;4;0;0;7;0;13;0;0;0;0;0;2;13;4;0;0;8;0;102;0;0;0;4;3;0;0;0;0;0;0;0;1;0;1;28;2;0;0;1;0;0;0;0;0
"Ilex cerasifolia";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;4;1;0;0;9;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Didymopanax vinosus";0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Piptocarpha leprosa";0;0;0;0;8;0;0;0;0;0;3;0;0;0;0;0;4;4;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0
"Copaifera langsdorffii";0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"Davilla elliptica";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;3;0;3;3;0;0;0;0;1;0;0;1;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0
"Doliocarpus dentatus";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;8;0;0;0;6;0;10;2;0;0;0;0;1;0;0;1;0;0;0;0;2;0;1;0;1;0;0;0;0;0;0;0
